Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
Multilon®,DN-3710F,Polycarbonate + ABS,PC+ABS,1.26,(PC+ABS)-MD-FR,61.0,,4100.0,94.0,4200.0,48.0,3.0,35.0,,,
Multilon®,DN-3720B,Polycarbonate + ABS,PC+ABS,1.34,(PC+ABS)-MD-FR,60.0,,5500.0,105.0,,55.0,,6.0,,,
Multilon®,DN-7720HX,Polycarbonate + ABS,PC+ABS,1.34,(PC+ABS)-MD-FR,72.0,,6200.0,115.0,,70.0,,4.0,,,
Multilon®,DN-7730M,Polycarbonate + ABS,PC+ABS,1.44,(PC+ABS)-MD-FR,,,8000.0,100.0,9000.0,66.0,,2.0,,,
Multilon®,RN-3720B,Polycarbonate + ABS,PC+ABS,1.31,(PC+ABS)-(GF+MD)-FR,,,5600.0,120.0,,90.0,,2.0,,,
Multilon®,TE-2013,Polycarbonate + ABS,PC+ABS,1.13,(PC+ABS)-L,55.0,,2400.0,85.0,,50.0,,120.0,,,
Multilon®,TE-3412,Polycarbonate + ABS,PC+ABS,1.24,(PC+ABS)-L,56.0,,3300.0,93.0,,45.0,,40.0,,,
Multilon®,TN-7000AT,Polycarbonate + ABS,PC+ABS,1.18,(PC+ABS)-FR,60.0,,2500.0,92.0,,55.0,,120.0,,,
Multilon®,TN-7400B,Polycarbonate + ABS,PC+ABS,1.21,(PC+ABS)-MD-FR,63.0,,3200.0,96.0,,50.0,,30.0,,,
Multilon®,TN-7500M,Polycarbonate + ABS,PC+ABS,1.17,(PC+ABS)-FR,60.0,,2600.0,90.0,,50.0,,100.0,,,
Stratasys,ABS-M30,Acrylonitrile Butadiene Styrene,ABS,1.04,ABS,,,2320.0,60.7,2410.0,,,4.0,13.725490196078432,,
TES,J-1200/10/V0/ND WT,Acrylonitrile Butadiene Styrene,ABS,1.1,ABS,,,3450.0,82.7,,,,3.0,5.784313725490197,,
TES,J-1200/20 NAT,Acrylonitrile Butadiene Styrene,ABS,1.23,ABS,,,5860.0,110.0,,,,2.0,7.843137254901961,,
Plaslube®,ABS 8005,Acrylonitrile Butadiene Styrene,ABS,1.06,ABS,43.4,,2410.0,73.8,,,15.0,,13.725490196078432,115.0,
Plaslube®,ABS 8012,Acrylonitrile Butadiene Styrene,ABS,1.03,ABS,33.8,,2070.0,67.6,,,4.0,,44.11764705882353,95.0,
