Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
HiFill®,HDPE 1000,"Polyethylene, High Density",HDPE,PE-HD,31.0,,1210.0,41.4,,,20.0
HiFill®,HDPE GF15,"Polyethylene, High Density",HDPE,PE-HD-GF15,,,4070.0,55.2,,,
HiFill®,HDPE GF20,"Polyethylene, High Density",HDPE,PE-HD-GF20,,,4070.0,68.9,,,
HiFill®,HDPE GF30 BK,"Polyethylene, High Density",HDPE,PE-HD-GF30,,,4140.0,68.9,,,
HiFill®,HDPE LGF60 CC 2000 NAT 12mm,"Polyethylene, High Density",HDPE,PE-HD-GF60,,,8480.0,152.0,,,
HiFill®,HDPE TM30,"Polyethylene, High Density",HDPE,PE-HD-MD30,,135.0,1380.0,448.0,,,
HiFill FR®,LDPE 0110 FR-N BK,"Polyethylene, High Density",HDPE,PE-HD-FR,200.0,,4.83,19.3,,,2.0
Electrafil®,HDPE C GY03 MB,"Polyethylene, High Density",HDPE,PE-HD,,,1720.0,29.6,,,7.0
Hanwha TotalEnergies PE,B220A,"Polyethylene, High Density",HDPE,PE-HD,27.5,132.0,1080.0,,,,0.35
Hanwha TotalEnergies PE,B235A,"Polyethylene, High Density",HDPE,PE-HD,31.4,132.0,1180.0,,,,0.18
Hanwha TotalEnergies PE,F120U,"Polyethylene, High Density",HDPE,PE-HD,22.6,,981.0,,,,0.05
PolyMax™,HD,"Polyethylene, High Density",HDPE,PE-HD-MD75,,,,,,,1.5
HIPLEX®,HMN 6050,"Polyethylene, High Density",HDPE,PE-HD,27.0,,1230.0,,,,5.0
HIPLEX®,HXM 50100,"Polyethylene, High Density",HDPE,PE-HD,26.0,,,,,,10.0
I. Stern,IS-35955,"Polyethylene, High Density",HDPE,PE-HD,27.6,,1380.0,,,,0.35
STAR,HDPE B10H954,"Polyethylene, High Density",HDPE,PE-HD,27.0,,,,1200.0,,10.0
STAR,HDPE B5947P,"Polyethylene, High Density",HDPE,PE-HD,28.3,,1340.0,,,,5.5
STAR,HDPE F8952,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.045
STAR,HDPE M3952,"Polyethylene, High Density",HDPE,PE-HD,26.5,,1030.0,,,,3.0
STAR,HDPE PE80N,"Polyethylene, High Density",HDPE,PE-HD,22.1,,965.0,,,,0.11
HANWHA,CHBA-8241BK,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.23
HANWHA,CHNA-8380L,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,,,,,,0.7
Halene H,B5500,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,27.0,,1000.0,,,,0.06
Halene H,F5400,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,28.0,,1150.0,,,,0.09
Halene H,HD T6,"Polyethylene, High Density",HDPE,PE-HD,30.0,,1150.0,,,,0.5
Halene H,M5018L,"Polyethylene, High Density",HDPE,PE-HD,22.0,,800.0,,,,20.0
Halene H,M5818,"Polyethylene, High Density",HDPE,PE-HD,24.0,,,,,,19.0
Halene H,M6007L,"Polyethylene, High Density",HDPE,PE-HD,24.0,,850.0,,,,8.0
Halene H,P5300,"Polyethylene, High Density",HDPE,PE-HD,26.0,,1100.0,,,,0.05
HYPEL®,PEHD18/.956,"Polyethylene, High Density",HDPE,PE-HD,29.0,,1150.0,,,,18.0
HYPEL®,PEHD20/.953,"Polyethylene, High Density",HDPE,PE-HD,27.1,,903.0,,,,20.0
ADVANCENE™,bEE-4909-AAH,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,,,,,,9.0
ADVANCENE™,EM-5333-AAH,"Polyethylene, High Density",HDPE,PE-HD,26.9,,1000.0,,,,0.38
Ethylplus,613 HGI/4,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,6.0
Verity™,HDPE0860,"Polyethylene, High Density",HDPE,PE-HD,29.3,,1310.0,,,,8.0
TAISOX®,7501,"Polyethylene, High Density",HDPE,PE-HD,26.5,134.0,,,,,0.02
TAISOX®,8001U-Natural,"Polyethylene, High Density",HDPE,PE-HD,23.5,129.0,,,,,0.05
TAISOX®,8009L,"Polyethylene, High Density",HDPE,PE-HD,25.5,132.0,,,,,1.0
TAISOX®,8041,"Polyethylene, High Density",HDPE,PE-HD,24.5,133.0,12500.0,,,,4.0
TAISOX®,8100RT,"Polyethylene, High Density",HDPE,PE-HD,21.6,129.0,,,,,0.12
SureSpec,HD45-30,"Polyethylene, High Density",HDPE,PE-HD,24.1,,1040.0,,,,0.35
SureSpec,HD52-700,"Polyethylene, High Density",HDPE,PE-HD,27.6,,1100.0,,,,7.0
SureSpec,HD53-5000,"Polyethylene, High Density",HDPE,PE-HD,23.4,,1000.0,,,,50.0
SureSpec,HD55-030U,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,31.0,,1180.0,,,,0.3
SureSpec,HD55-30A,"Polyethylene, High Density",HDPE,PE-HD,26.9,,1340.0,,,,0.35
Formolene®,E900,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,24.8,,,,,,0.04
Formolene®,E922,"Polyethylene, High Density (MMW)","HDPE, MMW",PE-HD,,132.0,,,,,0.15
Formolene®,E924ND,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,131.0,,,,,0.04
Formolene®,HB5202B2,"Polyethylene, High Density",HDPE,PE-HD,27.0,,1310.0,,,,0.3
Formolene®,HB5502S1,"Polyethylene, High Density",HDPE,PE-HD,28.0,,1380.0,,,,0.25
Formolene®,HP4000,"Polyethylene, High Density",HDPE,PE-HD,22.0,,960.0,,,,0.14
Formolene®,HP4401,"Polyethylene, High Density",HDPE,PE-HD,22.0,,960.0,,,,0.11
G-Lex,E52U003,"Polyethylene, High Density",HDPE,PE-HD,23.5,,696.0,,,,0.28
G-Lene,W50A009,"Polyethylene, High Density",HDPE,PE-HD,21.6,,497.0,,,,0.9
Paxon™,7000 Series,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,18.6,,758.0,,,,
Paxon™,AA60-003,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,31.8,,1570.0,,,,0.25
Paxon™,BA46-055,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,24.0,,700.0,,,,0.1
Paxon™,BA53-055,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,27.6,,857.0,,,,0.1
Paxon™,BC50-100,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,25.6,,919.0,,,,0.1
Paxon™,BZ45-060,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,24.0,,820.0,,,,0.1
Paxon™,EA55-003,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,,,,,,,0.43
Paxon™,FD60-018,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,28.1,,,,,,0.1
ExxonMobil™ HDPE,HD 7800P,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,28.0,,970.0,,,,0.25
ExxonMobil™ HDPE,HD 7957.04,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,,,,,,,0.057
ExxonMobil™ HDPE,HD 8512 Series,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,22.3,,873.0,,,,1.3
ExxonMobil™ HDPE,HMA 014,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,25.5,,1120.0,,,,4.0
ExxonMobil™ HDPE,HTA 002HD5,"Polyethylene, High Density (UHMW)","HDPE, UHMW",PE-UHMW,,,,,,,0.68
PEXIDAN®,SX739,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,4.5
Safrene®,E 5560,"Polyethylene, High Density",HDPE,PE-HD,28.0,,1450.0,,,,0.3
Safrene®,F 7740F3,"Polyethylene, High Density",HDPE,PE-HD,21.0,,,,,,1.5
Sasol Polymers PE,HD4985 LS,"Polyethylene, High Density",HDPE,PE-HD,24.1,,900.0,,,,
Marlex®,HHM TR-144,"Polyethylene, High Density",HDPE,PE-HD,,,1150.0,,,,0.18
SCG HDPE,H555J,"Polyethylene, High Density",HDPE,PE-HD,25.5,131.0,1090.0,,,,1.8
SCG HDPE,H5814J,"Polyethylene, High Density",HDPE,PE-HD,27.5,131.0,1230.0,,,,14.0
SCG HDPE,S111F,"Polyethylene, High Density",HDPE,PE-HD,,128.0,,,,,0.04
SAXAGREEN™,HDPE908PI SW,"Polyethylene, High Density",HDPE,PE-HD,,,,,800.0,,3.0
SABIC® Vestolen A,6060R 65307 Blue,"Polyethylene, High Density",HDPE,PE-HD,24.0,124.0,,,1030.0,,0.1
SABIC® Vestolen A,Rely 5923R 10000 Black,"Polyethylene, High Density",HDPE,PE-HD,24.0,124.0,,,1100.0,,0.2
SABIC® HDPE,B1054,"Polyethylene, High Density",HDPE,PE-HD,27.0,,,,1250.0,,0.45
SABIC® HDPE,B4660AB,"Polyethylene, High Density",HDPE,PE-HD,30.0,,1100.0,28.0,1000.0,,0.7
SABIC® HDPE,B5206,"Polyethylene, High Density",HDPE,PE-HD,26.0,,,,1050.0,,6.5
SABIC® HDPE,B5308,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,25.0,132.0,,,1050.0,,0.32
SABIC® HDPE,C0549,"Polyethylene, High Density",HDPE,PE-HD,33.0,,950.0,,,,1.8
SABIC® HDPE,CC3054,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,26.0,132.0,1250.0,27.0,1100.0,,30.0
SABIC® HDPE,CC860V,"Polyethylene, High Density",HDPE,PE-HD,30.0,133.0,1500.0,30.0,1300.0,,7.6
SABIC® HDPE,F00950,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,,,,,,0.07
SABIC® HDPE,F00952J,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,,,,,,0.05
SABIC® HDPE,F0863,"Polyethylene, High Density",HDPE,PE-HD,,134.0,,,,,8.0
SABIC® HDPE,FI0851P,"Polyethylene, High Density (HMW)","HDPE, HMW",PE-HD,,,,,,,0.05
SABIC® HDPE,ICP4907S,"Polyethylene, High Density",HDPE,PE-HD,23.0,131.0,1000.0,24.0,950.0,,7.0
SABIC® HDPE,ICP5703,"Polyethylene, High Density",HDPE,PE-HD,27.0,133.0,1350.0,28.0,1150.0,,3.1
SABIC® HDPE,M1053,"Polyethylene, High Density",HDPE,PE-HD,26.0,132.0,1200.0,26.0,1100.0,,10.0
SABIC® HDPE,M40053S,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,23.0,,800.0,21.0,900.0,,4.0
SABIC® HDPE,M40055M,"Polyethylene, High Density",HDPE,PE-HD,,,,,1200.0,,3.6
SABIC® HDPE,M40055S,"Polyethylene, High Density",HDPE,PE-HD,25.0,,710.0,22.0,,,4.0
SABIC® HDPE,M40060,"Polyethylene, High Density",HDPE,PE-HD,24.0,,900.0,24.0,950.0,,4.0
SABIC® HDPE,M453SE,"Polyethylene, High Density Copolymer",HDPE Copolymer,PE-HD,26.0,132.0,1200.0,26.0,1100.0,,4.0
SABIC® HDPE,M75056F,"Polyethylene, High Density",HDPE,PE-HD,24.0,131.0,660.0,,,,7.5
SABIC® HDPE,M80064S,"Polyethylene, High Density",HDPE,PE-HD,26.0,,1650.0,42.0,950.0,,8.0
SABIC® HDPE,P4808N,"Polyethylene, High Density",HDPE,PE-HD,22.0,,827.0,26.0,850.0,,0.23
SABIC® HDPE,P6006N,"Polyethylene, High Density",HDPE,PE-HD,23.0,,,,850.0,,0.23
SABIC® HDPE,P6006NA,"Polyethylene, High Density",HDPE,PE-HD,23.0,,,,850.0,,0.23
SABIC® HDPE,P952,"Polyethylene, High Density",HDPE,PE-HD,24.0,,,,1500.0,,0.33
SABIC® HDPE,PCGF0863,"Polyethylene, High Density",HDPE,PE-HD,,134.0,,,,,8.0
SABIC® HDPE,T5E01BG,"Polyethylene, High Density",HDPE,PE-HD,,,,,,,0.3
