Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
TEKNILID,HS123,"Film, Al Foil/LDPE","Film, Al Foil/LDPE",,,,,,,,
Sinpolene,CFN3088,"Polyethylene, Low Density + LLDPE",LDPE+LLDPE,PE-LLD-MD70,,,,,,,5.0
Sinpolene,MBB0081,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,20.0
Sinpolene,MBB0091,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,20.0
Sinpolene,MBB1512,"Polyethylene, Low Density",LDPE,PE-LD,,,,,,,10.0
Sinpolene,MBB2751,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,20.0
Sinpolene,MBB5511,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,15.0
Sinpolene,MBN7541,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,,,,,,3.0
Sinpolene,MBW001,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-MD30,,,,,,,5.0
Sinpolene,MBW001LE,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-MD30,,,,,,,5.0
Sinpolene,MBW014LE,"Polyethylene, Low Density",LDPE,PE-LD-MD40,,,,,,,25.0
Sinpolene,MBW0661,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-MD60,,,,,,,30.0
Sinpolene,MBW1391,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-MD60,,,,,,,30.0
Sinpolene,MBW1781,"Polyethylene, Linear Low Density",LLDPE,PE-LLD-MD60,,,,,,,30.0
Sumitomo PE,FS150A,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,122.0,,,,,1.1
HiFill®,LDPE 0098 S LE,"Polyethylene, Low Density",LDPE,PE-LD-X,10.3,,276.0,15.2,,,8.0
SUMIKATHENE® L,GA401,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,123.0,,,,,3.0
SUMIKATHENE® Hi-Alpha,CW8003,"Polyethylene, Linear Low Density",LLDPE,PE-LLD,,119.0,,,,,9.0
SUMIKATHENE®,CE4506,"Polyethylene, Low Density",LDPE,PE-LD,,106.0,,,,,7.0
SUMIKATHENE®,F200,"Polyethylene, Low Density",LDPE,PE-LD,,111.0,,,,,2.0
SUMIKATHENE®,F213-P,"Polyethylene, Low Density",LDPE,PE-LD,,110.0,,,,,1.5
SUMIKATHENE®,F238-1,"Polyethylene, Low Density",LDPE,PE-LD,,116.0,,,,,2.0
