Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
TechnoMid,PA6 S GF 20 2 SZ sw (88796),Polyamide 6,Nylon 6,1.23,PA6-GF20,,,,,5000.0,,,3.0,,,
TechnoMid,PA6 S GF 30 1 sw (59256),Polyamide 6,Nylon 6,1.35,PA6-GF30,155.0,,,,8900.0,160.0,2.7,2.7,,,
Tekumid,6 BH30,Polyamide 6,Nylon 6,,PA6,,,5100.0,,6100.0,105.0,,,20.0,,
Tekumid,6 SC/GK 30,Polyamide 6,Nylon 6,1.33,PA6-GB30,,,2730.0,,,,,,5.882352941176471,,
Sinpolene,MBB2507,"Polyamide, Unspecified","Nylon, Unspecified",1.17,PA,,,,,,,,,,,
Chemlon S,133 GVH,Polyamide 66,Nylon 66,1.61,PA66-GF35,,256.0,8970.0,193.0,,,,1.5,10.784313725490197,,
Recyclon,AG43H BK050,Polyamide 66,Nylon 66,1.5,PA66-GF45,,255.0,10500.0,,14100.0,,,3.2,10.0,,
Recyclon,BG13H BK100,Polyamide 6,Nylon 6,1.2,PA6-GF15,,218.0,4500.0,,5400.0,,,3.7,4.0,,
Creamid®,A2H7G12.2S*9207/2,Polyamide 66 + PA 6I/6T,Nylon 66+Nylon 6I/6T,1.72,(PA66+PA6I/6T),,265.0,16500.0,310.0,22000.0,240.0,,3.0,20.0,,
Creamid®,A3H2G10.2S,Polyamide 66 + PA 6I/6T,Nylon 66+Nylon 6I/6T,1.57,(PA66+PA6I/6T)-GF50,,,12500.0,330.0,17000.0,240.0,,3.0,16.0,,
Creamid®,A3H2G10.2S*9001,Polyamide 66 + PA 6I/6T,Nylon 66+Nylon 6I/6T,1.57,(PA66+PA6I/6T)-GF50,,,12500.0,330.0,17000.0,240.0,,3.0,15.0,,
Creamid®,A3H2G8.2S*9001,Polyamide 66 + PA 6I/6T,Nylon 66+Nylon 6I/6T,1.57,(PA66+PA6I/6T),,265.0,13500.0,340.0,13500.0,245.0,,3.0,14.0,,
Creamid®,A3H7G10.2S*9217,Polyamide 66 + PA 6I/6T,Nylon 66+Nylon 6I/6T,1.58,(PA66+PA6I/6T),,265.0,12500.0,330.0,17000.0,240.0,,3.0,15.0,,
Creamid®,A3H7G6.2S*9217,Polyamide 66 + PA 6I/6T,Nylon 66+Nylon 6I/6T,1.38,(PA66+PA6I/6T)-GF,,265.0,8000.0,200.0,9500.0,165.0,,2.9,10.0,,
Creamid®,AH2GX6E*9200,Polyamide 66,Nylon 66,1.35,PA66,,258.0,,,,,,,,,
Creamid®,B3H2G10*9000,Polyamide 6,Nylon 6,1.59,PA6,,222.0,13700.0,,16600.0,225.0,,3.4,12.0,,
Creamid®,B3H2G3ZB*800,Polyamide 6,Nylon 6,1.22,PA6,,222.0,4600.0,140.0,6200.0,110.0,,3.2,12.0,,
Creamid®,C3H2G4FRSE*800,Polyamide 66,Nylon 66,1.35,PA66-GF,136.0,,,,8560.0,,,,7.1,,
Creamid®,C3H2ZC*800,Polyamide 66,Nylon 66,1.07,PA66-I,45.0,258.0,1500.0,45.0,1700.0,,,50.0,77.0,,
Chemlon®,100 H,Polyamide 66,Nylon 66,1.14,PA66-L,,259.0,2900.0,100.0,3100.0,,,,,,
Chemlon®,104-13 G,Polyamide 66,Nylon 66,1.2,PA66-I-GF15,,257.0,3790.0,134.0,,,5.0,7.0,12.745098039215687,,
Chemlon®,109-13 GHU,Polyamide 66,Nylon 66,1.2,PA66-GF15-L,,260.0,3800.0,120.0,,,,4.5,11.0,,
Chemlon®,109-18 G,Polyamide 66,Nylon 66,1.23,PA66-GF20,,257.0,4300.0,148.0,,,3.0,6.0,9.0,,
Chemlon®,109-18 GH,Polyamide 66,Nylon 66,1.22,PA66-GF20,,254.0,4300.0,130.0,,,,5.0,9.0,,
Chemlon®,113 GH,Polyamide 66,Nylon 66,1.22,PA66-GF15,,257.0,3410.0,94.4,4160.0,,,16.0,3.3,,
Chemlon®,113 GX,Polyamide 66,Nylon 66,1.22,PA66-GF15-L,,254.0,4830.0,172.0,,,,2.0,6.274509803921569,,
Chemlon®,125-15 MGH,Polyamide 66,Nylon 66,1.5,PA66-(GF+MD)40,,257.0,5800.0,125.0,8060.0,,,6.3,7.1,,
Chemlon®,128-10 MGH,Polyamide 66,Nylon 66,1.48,PA66-(GF+MD),,256.0,9000.0,200.0,,145.0,,3.0,,,
Chemlon®,130 GH,Polyamide 66,Nylon 66,1.37,PA66-GF,,257.0,8100.0,252.0,10000.0,,,3.0,8.0,,
Chemlon®,133 GVH,Polyamide 66,Nylon 66,1.59,PA66-GF35,,257.0,8960.0,190.0,,,,2.0,6.0,,
Chemlon®,135 GH,Polyamide 66,Nylon 66,1.4,PA66-GF,,257.0,9140.0,276.0,,,3.0,3.0,10.784313725490197,,
Chemlon®,140 MH,Polyamide 66,Nylon 66,1.5,PA66-MD40,,257.0,6550.0,145.0,,,,2.0,3.5,,
Chemlon®,143 G,Polyamide 66,Nylon 66,1.5,PA66-GF45,,257.0,11000.0,280.0,,,,2.0,8.5,,
Chemlon®,212,Polyamide 6,Nylon 6,1.13,PA6,,216.0,2860.0,103.0,,,,50.0,3.5,118.0,
Chemlon®,212 H,Polyamide 6,Nylon 6,1.13,PA6-L,,216.0,2800.0,105.0,,,5.0,20.0,4.5,118.0,
Chemlon®,215-10 MGH,Polyamide 6,Nylon 6,1.33,PA6-(GF+MD)25,,220.0,6040.0,159.0,5300.0,,,4.0,3.9,,
Chemlon®,230 GH,Polyamide 6,Nylon 6,1.36,PA6-GF30,158.0,220.0,8500.0,225.0,,,3.0,3.0,10.0,,
Chemlon®,233 GH,Polyamide 6,Nylon 6,1.38,PA6-GF35,,216.0,8270.0,241.0,12200.0,,,3.0,10.0,119.0,
Chemlon®,233 GHI,Polyamide 6,Nylon 6,1.34,PA6-GF,,220.0,7700.0,180.0,,,,3.5,12.0,,
Chemlon®,233 GHU,Polyamide 6,Nylon 6,1.4,PA6-GF,155.0,220.0,8700.0,215.0,,,,2.5,6.0,,
Chemlon®,235G,Polyamide 6,Nylon 6,1.41,PA6-GF35,,,4500.0,140.0,8000.0,,,6.0,,,
Chemlon®,250 GH,Polyamide 6,Nylon 6,1.54,PA6-GF50-L,,216.0,12000.0,,,,,2.0,15.686274509803923,,
Chemlon®,250 GHA,Polyamide 6,Nylon 6,1.57,PA6-GF,,220.0,13000.0,290.0,,,,3.0,13.0,,
Chemlon®,253 H,Polyamide 6,Nylon 6,1.11,PA6-I,,220.0,2300.0,85.0,2700.0,65.0,,50.0,15.0,,
Chemlon®,253 U,Polyamide 6,Nylon 6,1.1,PA6-I,,210.0,2240.0,86.2,,,,50.0,12.745098039215687,,
Chemlon®,280,Polyamide 6,Nylon 6,1.08,PA6,,220.0,1700.0,60.0,,45.0,,75.0,65.0,,
Chemlon®,400 NT,Polyamide 6,Nylon 6,1.13,PA6,75.0,220.0,2900.0,90.0,,,,,6.0,,
Chemlon®,433 GI,Polyamide 6,Nylon 6,1.36,PA6-GF,135.0,220.0,7500.0,185.0,,,,3.5,12.0,,
Chemlon®,504-13 GH,Polyamide 66,Nylon 66,1.2,PA66,95.0,257.0,3800.0,130.0,4800.0,,,5.0,7.0,,
Chemlon®,507 H,Polyamide 66,Nylon 66,1.11,PA66,,255.0,2100.0,,,,,30.0,,,
Chemlon®,509 H,Polyamide 66,Nylon 66,1.11,PA66,,257.0,1600.0,,,,,25.0,40.0,,
Chemlon®,533 GH,Polyamide 66,Nylon 66,1.4,PA66-GF35,,260.0,8250.0,185.0,12300.0,,,3.0,6.5,,
Chemlon®,543 GH,Polyamide 66,Nylon 66,1.52,PA66-GF,,257.0,11700.0,255.0,,,,3.0,8.0,,
Chemlon®,60GS6,Polyamide 6,Nylon 6,1.35,PA6-GB30,,,1000.0,60.0,1700.0,40.0,,20.0,,,
Chemlon®,66CF4,Polyamide 66,Nylon 66,1.22,PA66-CF20,,,11000.0,260.0,15000.0,,,4.0,4.5,,
Chemlon®,813CI,Polyamide 6/12 Copolymer,Nylon 6/12,1.11,PA612-I-CF15,,,6750.0,,,,,4.5,10.0,,
Chemlon®,830 GHIU,Polyamide 6/12 Copolymer,Nylon 6/12,1.27,PA612-GF,130.0,218.0,6750.0,,,,,4.0,15.0,,
Chemlon®,904-15 GVNH BK801,Polyamide 66,Nylon 66,1.3,PA66-GF15-FR,,260.0,5300.0,150.0,7800.0,,,3.2,5.2,,
Chemlon®,A60XTH,Polyamide 66,Nylon 66,1.1,PA66-I,,,2000.0,65.0,2100.0,,6.0,30.0,,,
Chemlon®,CHEMLON 150 G,Polyamide 66,Nylon 66,1.55,PA66-GF,,257.0,13000.0,324.0,,,3.0,3.0,15.686274509803923,,
Chemlon®,MD21,Polyamide 6,Nylon 6,1.14,PA6-L,,,3000.0,,,,,,,,
Chemlon®,MD3G,Polyamide 6,Nylon 6,1.13,PA6,,,1000.0,30.0,1000.0,,25.0,,,,
Chemlon®,MD3G,Polyamide 6,Nylon 6,1.13,PA6,,,3000.0,90.0,3100.0,,5.0,,3.0,,
Chemlon®,MD82,Polyamide 6,Nylon 6,1.18,PA6-FR,,,1500.0,35.0,2300.0,,,8.0,,,
Chemlon®,MD82,Polyamide 6,Nylon 6,1.18,PA6-FR,,,3100.0,85.0,2900.0,,,4.0,3.0,,
Chemlon®,MDF2,Polyamide 6,Nylon 6,1.37,PA6-GF30,,,4000.0,100.0,,,,7.0,,,
Chemlon®,MDSF1,Polyamide 6,Nylon 6,1.46,PA6-(GF+GB)40,,,3900.0,120.0,5000.0,,,3.0,,,
Chemlon®,R106/N/50GFS,Polyamide 6,Nylon 6,1.56,PA6-GF50,,,13800.0,320.0,14400.0,240.0,,3.0,15.0,,
TUFNYL®,RA104A1NATURAL,Polyamide 66,Nylon 66,1.14,PA66-GF,,260.0,2500.0,120.0,,75.0,,4.0,3.0,115.0,
TUFNYL®,RGF25FR0BLACK,Polyamide 66,Nylon 66,1.61,PA66-GF-FR,,,6000.0,170.0,,120.0,,3.5,6.0,110.0,
TUFNYL®,RGF33BLUE,Polyamide 66,Nylon 66,1.39,PA66-GF,,,6500.0,195.0,,125.0,,4.0,11.0,112.0,
TUFNYL®,RGF33INDICAGREY,Polyamide 66,Nylon 66,1.39,PA66-GF,,,8000.0,210.0,,130.0,,4.0,8.0,112.0,
TUFNYL®,RGF33ORANGE,Polyamide 66,Nylon 66,1.4,PA66-GF,,,7000.0,240.0,,155.0,,4.0,12.0,112.0,
TUFNYL®,RXXICBLACK,Polyamide 66,Nylon 66,1.14,PA66-GF,,260.0,2750.0,110.0,,70.0,,5.0,4.5,110.0,
TUFNYL®,RXXICLBLACK,Polyamide 66,Nylon 66,1.14,PA66,,260.0,3000.0,125.0,,80.0,,10.0,3.0,110.0,
TUFNYL®,RXXICRED,Polyamide 66,Nylon 66,1.14,PA66,,,2500.0,121.0,,72.0,,5.0,4.5,110.0,
TUFNYL®,SA102NATURAL,Polyamide 6,Nylon 6,1.12,PA6,,220.0,2500.0,108.0,,67.0,,10.0,3.0,110.0,
TUFNYL®,SA104H1BBLACK,Polyamide 6,Nylon 6,1.13,PA6,,220.0,2500.0,110.0,,70.0,,10.0,4.0,112.0,
TUFNYL®,SFM24GREY,Polyamide 6,Nylon 6,1.36,PA6-(GF+MD),,220.0,4000.0,160.0,,100.0,,3.0,4.5,112.0,
TUFNYL®,SGF159RBROWN,Polyamide 6,Nylon 6,1.23,PA6-GF,,220.0,4000.0,150.0,,105.0,,3.0,4.0,112.0,
TUFNYL®,SGF15BLACK,Polyamide 6,Nylon 6,1.24,PA6-GF,,220.0,4000.0,155.0,,94.0,,4.5,9.0,112.0,
TUFNYL®,SGF30EBLACK,Polyamide 6,Nylon 6,1.36,PA6-GF,,220.0,7500.0,230.0,,157.0,,4.0,10.0,112.0,
TUFNYL®,SGF30HSNATURAL,Polyamide 6,Nylon 6,1.36,PA6-GF,,220.0,7200.0,230.0,,160.0,,4.0,13.0,112.0,
TUFNYL®,SGF30WDEEPBLACK,Polyamide 6,Nylon 6,1.36,PA6-GF,,220.0,5000.0,175.0,,110.0,,3.0,9.0,112.0,
Sumitomo PA,S3200,Polyamide 6,Nylon 6,1.12,PA6,80.0,,2650.0,104.0,2750.0,,4.0,87.0,,119.0,
TES,J-4/30/V0 RD6922,Polyamide 612,Nylon 612,1.34,PA612,,,10700.0,193.0,,,,2.5,7.843137254901961,,
TES,J-4/35 NAT,Polyamide 612,Nylon 612,1.34,PA612,,,8340.0,248.0,8830.0,,,2.5,7.843137254901961,,
Plaslube®,GS-71,Polyamide 612,Nylon 612,0.998,PA612-L,,,25500.0,,,64.8,,10.0,4.215686274509804,114.0,
Plaslube®,HTN 01400 BK,"Polyamide, Unspecified","Nylon, Unspecified",1.48,PA-L,,,11000.0,269.0,,186.0,,2.5,8.333333333333334,119.0,
Plaslube®,HTN 01410 BK,"Polyamide, Unspecified","Nylon, Unspecified",1.22,PA-L,,,3100.0,124.0,,89.6,,9.0,4.215686274509804,116.0,
Plaslube®,HTN 01420 BK,"Polyamide, Unspecified","Nylon, Unspecified",1.21,PA-L,,,3100.0,124.0,,91.0,,9.0,4.215686274509804,116.0,
Plaslube®,J-1/30/TF/13/SI/2 NAT,Polyamide 66,Nylon 66,1.49,PA66,,,9450.0,241.0,,,,2.5,9.411764705882353,119.0,
Plaslube®,J-1/30/TF/15,Polyamide 66,Nylon 66,1.52,PA66-GF30-L,,,,,7200.0,,,,,,
Plaslube®,J-1/30/TF/15 BK223,Polyamide 66,Nylon 66,1.52,PA66,,,9310.0,238.0,,,,2.5,12.745098039215687,119.0,
Plaslube®,J-1/CF/10/TF/13/SI/2 BK223,Polyamide 66,Nylon 66,1.25,PA66,,,7580.0,179.0,,,,3.0,3.1372549019607847,,
Plaslube®,J-1/CF/15/TF/20 NAT,Polyamide 66,Nylon 66,1.33,PA66,,,8960.0,228.0,,,,2.5,5.196078431372549,,
Plaslube®,J-4/30/TF/13/SI/2 NAT,Polyamide 612,Nylon 612,1.42,PA612,,,8340.0,197.0,,,,3.0,11.764705882352942,,
Plaslube®,NY-1/MS/5 BK223,Polyamide 66,Nylon 66,1.16,PA66,,,3340.0,124.0,,,,5.0,4.215686274509804,120.0,
Plaslube®,PA11 GF30 TL20 LE,Polyamide 11,Nylon 11,1.44,PA11-GF30-L,,,6070.0,179.0,,124.0,,5.0,17.647058823529413,108.0,
Plaslube®,PA4/6 CF30 TL10,Polyamide 46,Nylon 46,1.39,PA46-CF30-L,,295.0,17900.0,290.0,,193.0,,2.6,7.352941176470589,,
Plaslube®,PA4/6 CF30 TL15,Polyamide 46,Nylon 46,1.43,PA46-CF30-L,,295.0,16500.0,283.0,,186.0,,2.6,6.764705882352942,,
Plaslube®,PA6 GF15 TL15,Polyamide 6,Nylon 6,1.36,PA6-GF15-L,,,4830.0,128.0,,88.3,,2.0,6.764705882352942,90.0,
Plaslube®,PA6 GF30 TL15,Polyamide 6,Nylon 6,1.49,PA6-GF30-L,,,8270.0,197.0,,137.0,,2.0,7.843137254901961,90.0,
Plaslube®,PA6 GL10,Polyamide 6,Nylon 6,1.19,PA6-L,,220.0,3450.0,100.0,,72.4,,8.0,3.6274509803921573,118.0,
Plaslube®,PA6 GL15,Polyamide 6,Nylon 6,1.22,PA6-L,,220.0,3650.0,93.1,,65.5,,8.0,3.6274509803921573,118.0,
Plaslube®,PA6 TX10,Polyamide 6,Nylon 6,1.18,PA6-L,,,2620.0,97.9,,72.4,22.0,,5.196078431372549,100.0,
Plaslube®,PA6/6 04003 MB,Polyamide 66,Nylon 66,1.2,PA66-L,86.2,,3380.0,117.0,,,,15.0,3.1372549019607847,119.0,
Plaslube®,PA6/6 4722,Polyamide 66,Nylon 66,1.2,PA66-L,82.0,,3380.0,131.0,,,,9.0,4.705882352941177,115.0,
Plaslube®,PA6/6 AF10,Polyamide 66,Nylon 66,1.17,PA66-RF10-L,,255.0,3520.0,138.0,,91.7,,4.0,4.215686274509804,,
Plaslube®,PA6/6 AF10 HS L,Polyamide 66,Nylon 66,1.17,PA66-RF10-L,,255.0,3520.0,138.0,,91.7,,4.0,4.215686274509804,,
Plaslube®,PA6/6 CF20 TL15 BK,Polyamide 66,Nylon 66,1.28,PA66-CF20-L,,,12800.0,255.0,,179.0,,2.5,7.843137254901961,120.0,
Plaslube®,PA6/6 CF30 TS15 BK,Polyamide 66,Nylon 66,1.36,PA66-CF30-L,,,12800.0,262.0,,186.0,,2.5,6.274509803921569,120.0,
Plaslube®,PA6/6 CF33 ML2 BK,Polyamide 66,Nylon 66,1.29,PA66-CF10-L,,263.0,17900.0,303.0,,193.0,,2.0,5.196078431372549,119.0,
Plaslube®,PA6/6 GF10 M/TL10,Polyamide 66,Nylon 66,1.27,PA66-GF10-L,,,3520.0,103.0,,77.2,,3.5,5.196078431372549,117.0,
Plaslube®,PA6/6 GF10 TL5,Polyamide 66,Nylon 66,1.16,PA66-GF10-L,,,2140.0,101.0,,73.1,,20.0,4.215686274509804,117.0,
Plaslube®,PA6/6 GF13 SL2,Polyamide 66,Nylon 66,1.22,PA66-GF15-L,,,4830.0,165.0,,103.0,,3.0,6.764705882352942,115.0,
Plaslube®,PA6/6 GF13 TL10,Polyamide 66,Nylon 66,1.3,PA66-GF15-L,,,4830.0,152.0,,103.0,,3.0,5.784313725490197,115.0,
Plaslube®,PA6/6 GF27 SL2,Polyamide 66,Nylon 66,1.33,PA66-GF25-L,,,7310.0,214.0,,165.0,,3.5,8.333333333333334,115.0,
Plaslube®,PA6/6 GF30 ML5 HS,Polyamide 66,Nylon 66,1.43,PA66-GF30-L,,,9310.0,203.0,,138.0,,4.5,9.803921568627452,,
Plaslube®,PA6/6 GF30 TS15,Polyamide 66,Nylon 66,1.47,PA66-GF30-L,,,8960.0,214.0,,156.0,,2.0,8.92156862745098,110.0,
Plaslube®,PA6/6 GF40 IM HS L BK,Polyamide 66,Nylon 66,1.35,PA66-I-GF40-L,,,8270.0,213.0,,152.0,,4.0,15.686274509803923,111.0,
Plaslube®,PA6/6 GF43 ML2 BK,Polyamide 66,Nylon 66,1.49,PA66-GF45-L,,,11000.0,269.0,,172.0,,3.0,10.784313725490197,122.0,
Plaslube®,TPX-PA6/6-95001,Polyamide 66,Nylon 66,1.02,PA66-L,,,2140.0,97.2,,,,16.0,7.352941176470589,78.0,
Plaslube®,TPX-PA6-03034,Polyamide 6,Nylon 6,1.21,PA6-GF-L,86.2,,5170.0,139.0,,,,2.0,5.196078431372549,100.0,
HiFill®,EXP149350-4,Polyamide 66/6 Copolymer,Nylon 66/6,1.33,PA66/6-(CF+GF)30-L,161.0,,10500.0,228.0,9170.0,,,3.4,6.372549019607844,,
HiFill®,J-70/30 BK8037,Polyamide 66 + PP,Nylon 66+PP,1.26,(PA+PP),,,6890.0,331.0,,,,2.5,8.627450980392158,,
HiFill®,J-71/20,Polyamide + SAN,Nylon+SAN,1.24,(PA+SAN)-GF20,110.0,,6890.0,,,,2.0,,9.411764705882353,,
HiFill®,J-71/30,Polyamide + SAN,Nylon+SAN,1.33,(PA+SAN)-GF30,131.0,,7580.0,,,,1.7,,8.92156862745098,,
HiFill®,PA11 GF7 HS L,Polyamide 11,Nylon 11,1.09,PA11-GF5-L,,,2480.0,103.0,,72.4,,6.0,6.764705882352942,108.0,
HiFill®,PA4/6 0206,Polyamide 46,Nylon 46,2.05,PA46,100.0,,10300.0,180.0,,,,2.0,4.215686274509804,,
HiFill®,PA4/6 CF30,Polyamide 46,Nylon 46,1.31,PA46-CF30,,,11000.0,283.0,,179.0,,3.5,10.784313725490197,,
HiFill®,PA4/6 CF40 IM HS,Polyamide 46,Nylon 46,1.33,PA46-CF40,,,18600.0,345.0,,207.0,,3.2,9.803921568627452,,
HiFill®,PA4/6 GF33 HS NAT,Polyamide 46,Nylon 46,1.43,PA46-GF35,,295.0,5380.0,186.0,,117.0,,7.0,14.705882352941178,,
HiFill®,PA4/6 GF5 IM HS BK,Polyamide 46,Nylon 46,1.17,PA46-I-GF5,,,2900.0,96.5,,48.3,,9.5,7.843137254901961,,
