Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
TECAPAI®,CM XP530 black-green,Polyamide-imide,PAI,1.61,PAI-GF,,,6140.0,172.0,6210.0,115.0,,3.2,4.705882352941177,,92.0
Torlon®,4000T,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Torlon®,7130,Polyamide-imide,PAI,1.48,PAI-CF30,,,19900.0,350.0,16500.0,,,1.5,4.705882352941177,,
Torlon®,AI-10 LM,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Semitron®,ESd 520HR PAI,Polyamide-imide,PAI,1.58,PAI,,,5520.0,105.0,5500.0,,,3.0,4.215686274509804,,
Torlon®,4000TF,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Torlon®,4645,Polyamide-imide,PAI,1.57,PAI-L,,,12400.0,154.0,18600.0,,,0.8,3.6274509803921573,,
Compoceran,H901-2,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Duratron®,T4301 PAI AE,Polyamide-imide,PAI,1.45,PAI-CF-L,,,5520.0,155.0,5500.0,,6.6,5.0,4.215686274509804,,
Duratron®,T5030 PAI,Polyamide-imide,PAI,1.6,PAI-GF30,,,6760.0,207.0,6890.0,,,4.0,5.196078431372549,,
Duratron®,T7130 PAI,Polyamide-imide,PAI,1.47,PAI-CF30,,,,,8270.0,,,2.5,4.705882352941177,,
Torlon®,4203L,Polyamide-imide,PAI,1.42,PAI-L,151.87675994769327,,5030.0,241.0,4900.0,,7.116395000000009,15.0,13.725490196078432,,
Torlon®,4301,Polyamide-imide,PAI,1.46,PAI-L,,,6890.0,215.0,6830.0,,,3.3,6.274509803921569,,
Torlon®,4435,Polyamide-imide,PAI,1.59,PAI,,,14500.0,152.0,14500.0,,,1.0,4.215686274509804,,
Torlon®,AI-30,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Compoceran,H900-2,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Duratron®,T4203 PAI,Polyamide-imide,PAI,1.41,PAI,,,4140.0,178.0,4200.0,,9.0,20.0,10.784313725490197,,
Duratron®,T4203 PAI AE,Polyamide-imide,PAI,1.41,PAI,,,4140.0,178.0,4200.0,,9.0,20.0,10.784313725490197,,
Duratron®,T5530 PAI,Polyamide-imide,PAI,1.61,PAI-GF30,,,6210.0,170.0,6400.0,,,3.0,3.6274509803921573,,
TECASINT®,5051 grey-green,Polyamide-imide,PAI,1.56,PAI-GF,,,6600.0,162.0,6500.0,,,2.2,,,92.0
Torlon®,4275,Polyamide-imide,PAI,1.51,PAI-L,,,7310.0,208.0,8830.0,,,2.6,8.333333333333334,,
Torlon®,4630,Polyamide-imide,PAI,1.56,PAI-L,,,6830.0,131.0,7450.0,,,1.9,4.705882352941177,,
Torlon®,5030,Polyamide-imide,PAI,1.61,PAI-GF30,,,11700.0,333.0,14500.0,,,2.3,7.843137254901961,,
Torlon®,AI-10,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Torlon®,AI-10 LS,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Torlon®,AI-50,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Duratron®,T4301 PAI,Polyamide-imide,PAI,1.45,PAI-CF-L,,,5520.0,155.0,5500.0,,6.6,5.0,4.215686274509804,,
Duratron®,T4540 PAI,Polyamide-imide,PAI,1.46,PAI,,,3790.0,89.6,4140.0,,,2.5,5.784313725490197,,
Duratron®,T7530 PAI,Polyamide-imide,PAI,1.51,PAI-CF30,,,6.89,124.0,5030.0,,,2.6,3.6274509803921573,,
TECAPAI®,CM XP403 green,Polyamide-imide,PAI,1.41,PAI,,,3910.0,145.0,3700.0,122.0,,6.4,6.274509803921569,,90.0
TECAPAI®,CM XP440 black-green,Polyamide-imide,PAI,1.46,PAI-CF,,,4000.0,103.0,4000.0,64.1,,3.1,3.1372549019607847,,88.0
TECAPAI®,CM XP730 black,Polyamide-imide,PAI,1.47,PAI-CF,,,8960.0,255.0,8270.0,165.0,,4.0,5.784313725490197,,94.0
Torlon®,4200,Polyamide-imide,PAI,1.42,PAI,,,5030.0,241.0,4900.0,,,15.0,13.725490196078432,,
Torlon®,AI-30 LM,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Compoceran,AI301,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Compoceran,AI352-31,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Compoceran,H901-2D,Polyamide-imide,PAI,,PAI,,,,,,,,,,,
Semitron®,CMP XL20,Polyamide-imide,PAI,1.4,PAI,,,4140.0,165.0,3960.0,,8.8,10.0,,,
Semitron®,MPR 1000,Polyamide-imide,PAI,1.48,PAI,,,7580.0,172.0,6050.0,,,3.5,6.764705882352942,,
Duratron®,T4503 PAI,Polyamide-imide,PAI,1.4,PAI,,,4140.0,178.0,4200.0,,9.0,20.0,7.843137254901961,,
