Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
Panlite®,AM-3330,Polycarbonate Alloy,PC Alloy,1.14,PC Alloy,68.0,,2580.0,95.0,,56.0,,93.0,,,
Panlite®,AM-8930ZS,Polycarbonate Alloy,PC Alloy,1.22,PC Alloy,60.0,,2400.0,90.0,,65.0,,120.0,,,
Panlite®,AM-9730FZ,Polycarbonate + Polyester,PC+Polyester,1.29,(PC+Polyester)-MD,60.0,,3300.0,90.0,3500.0,50.0,4.0,100.0,,,
Panlite®,AM-9835Z,Polycarbonate Alloy,PC Alloy,1.22,PC Alloy,60.0,,2250.0,90.0,,56.0,,120.0,,,
Panlite®,B-4730R,Polycarbonate,PC,1.35,PC-(CF+GF),,,12500.0,180.0,,130.0,,2.0,,,
Panlite®,B-7115R,Polycarbonate,PC,1.26,PC-CF15,,,10000.0,180.0,,125.0,,2.0,,,
Panlite®,B-7730R,Polycarbonate,PC,1.36,PC-(CF+GF),,,12000.0,165.0,,120.0,,1.0,,,
Panlite®,BS-8120R,Polycarbonate,PC,1.36,PC-CF20,,,12000.0,170.0,13600.0,120.0,,1.5,,,
Panlite®,D-5015BL,Polycarbonate,PC,,PC-MD,,,3900.0,95.0,,46.0,,11.0,,,
Panlite®,DN-5915B,Polycarbonate,PC,,PC-MD-FR,63.0,,4700.0,100.0,,53.0,,10.0,,,
Panlite®,E-8910,Polycarbonate,PC,1.27,PC-CF10,,,5350.0,93.0,,59.0,,6.0,,,
Panlite®,G-3410R,Polycarbonate,PC,1.27,PC-GF10,,,3600.0,120.0,3700.0,70.0,,3.5,,,
