Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
Plaslube®,PEEK 1041 A,Polyetheretherketone,PEEK,1.46,PEEK-L,95.8,,10400.0,159.0,,95.8,,3.9,4.901960784313726,,
Plaslube®,PEEK CF15 T/GL15 A,Polyetheretherketone,PEEK,1.46,PEEK-(CF+GF)-L,,,9650.0,234.0,,146.0,,2.5,8.92156862745098,116.0,
Plaslube®,PEEK CF15 TL15 A,Polyetheretherketone,PEEK,1.43,PEEK-CF-L,,,12400.0,262.0,,179.0,,1.5,8.333333333333334,118.0,
Plaslube®,PEEK T/GL20,Polyetheretherketone,PEEK,1.42,PEEK-GF-L,,,4100.0,165.0,,89.6,,2.5,7.843137254901961,95.0,
HiFill®,PEEK GF10,Polyetheretherketone,PEEK,1.39,PEEK-GF10,,,5310.0,153.0,,124.0,,4.5,8.333333333333334,118.0,
HiFill®,PEEK GF33,Polyetheretherketone,PEEK,1.5,PEEK-GF,,,10000.0,234.0,,179.0,,2.0,9.411764705882353,115.0,
HiFill®,PEEK GF40 A HF,Polyetheretherketone,PEEK,1.61,PEEK-GF,,342.0,13800.0,303.0,,207.0,,2.0,10.784313725490197,115.0,
SUMIPLOY®,CK3400,Polyetheretherketone,PEEK,1.36,PEEK-CF20,,,12900.0,305.0,13900.0,,,2.2,7.0,104.0,
WR®,300,Polyetheretherketone,PEEK,1.43,PEEK-CF,,,10900.0,212.0,10800.0,134.0,,1.8,,106.0,93.0
Arlon®,1555,Polyetheretherketone,PEEK,1.46,PEEK-CF-L,,,9650.0,228.0,11400.0,146.0,,2.2,,,87.0
Arlon®,3000 XT,Polyetheretherketone,PEEK,1.29,PEEK,118.0,352.0,4330.0,161.0,3850.0,117.0,,8.0,8.627450980392158,,88.0
TECAPEEK®,black,Polyetheretherketone,PEEK,1.31,PEEK,110.0,334.0,4140.0,179.0,4480.0,53.8,4.9,40.0,5.0,,
TECAPEEK®,CM GF30 natural (XP91),Polyetheretherketone,PEEK,1.56,PEEK-GF30,,343.0,6890.0,131.0,7240.0,,,2.4,3.5294117647058827,,92.0
TECAPEEK®,ELS nano black,Polyetheretherketone,PEEK,1.36,PEEK,,341.0,4700.0,178.0,4800.0,,4.0,4.0,,,
TECAPEEK®,IM CF30 black,Polyetheretherketone,PEEK,1.41,PEEK-CF30,186.0,334.0,12800.0,318.0,13000.0,,,1.1,4.705882352941177,,
VESTAKEEP® Care,M40R,Polyetheretherketone,PEEK,1.3,PEEK,110.0,,4050.0,175.0,4050.0,,5.0,,,,84.0
VESTAKEEP®,1000P,Polyetheretherketone,PEEK,1.3,PEEK,100.0,340.0,,,3900.0,70.0,5.5,,,,
VESTAKEEP®,2000 CF30,Polyetheretherketone,PEEK,1.41,PEEK-CF30,,340.0,21500.0,390.0,24000.0,251.0,,1.9,,,
VESTAKEEP®,2000 UFP20,Polyetheretherketone,PEEK,1.3,PEEK,100.0,340.0,,,3700.0,70.0,5.0,,,,
VESTAKEEP®,4000 CF20,Polyetheretherketone,PEEK,1.36,PEEK-CF20,,,,,16900.0,200.0,,2.5,,,
VESTAKEEP®,4000 CF30,Polyetheretherketone,PEEK,1.4,PEEK-CF30,,340.0,,,23000.0,240.0,,2.0,,,
VESTAKEEP®,DC4450 G,Polyetheretherketone,PEEK,1.51,PEEK,95.0,337.0,,,4100.0,75.0,4.8,,,,
VESTAKEEP®,DC4470 G,Polyetheretherketone,PEEK,1.36,PEEK,95.0,340.0,,,3600.0,78.0,5.0,25.0,,,
VESTAKEEP®,DC4470 R,Polyetheretherketone,PEEK,1.36,PEEK,110.0,,4400.0,170.0,4400.0,,4.5,10.0,5.4,,
VESTAKEEP®,i2 P,Polyetheretherketone,PEEK,1.3,PEEK,100.0,,,,3600.0,80.0,5.0,,,,
VESTAKEEP®,i4 3DF-T,Polyetheretherketone,PEEK,1.3,PEEK,94.0,338.0,,,3500.0,76.0,5.0,,,,
VESTAKEEP®,i4 R,Polyetheretherketone,PEEK,1.3,PEEK,109.0,340.0,4050.0,160.0,4000.0,,4.8,,6.0,,
VESTAKEEP®,i5 R,Polyetheretherketone,PEEK,1.3,PEEK,105.0,340.0,3850.0,,3900.0,,4.6,,6.3,,
VESTAKEEP®,iC 4520 G,Polyetheretherketone,PEEK,1.5,PEEK-MD20,85.0,340.0,,,4350.0,,4.2,,,,
LNP™ THERMOCOMP™ Compound,LC003E - Asia,Polyetheretherketone,PEEK,1.33,PEEK-CF15,,,9510.0,263.0,10500.0,163.0,,1.8,3.6274509803921573,,
LNP™ THERMOCOMP™ Compound,LC006 - Europe,Polyetheretherketone,PEEK,1.4,PEEK-CF30,,,17000.0,,24100.0,219.0,,1.7,9.0,,
LNP™ THERMOCOMP™ Compound,LC008E - Asia,Polyetheretherketone,PEEK,1.47,PEEK-CF40,,,26900.0,352.0,30500.0,242.0,,1.3,5.686274509803922,,
LNP™ THERMOCOMP™ Compound,LC008EXP,Polyetheretherketone,PEEK,1.45,PEEK-CF40,,,22900.0,,26200.0,256.0,,1.6,9.0,,
LNP™ THERMOCOMP™ Compound,LC00APXQ,Polyetheretherketone,PEEK,1.48,PEEK-CF50,,,40700.0,473.0,47400.0,320.0,,1.1,7.549019607843138,,
LNP™ THERMOCOMP™ Compound,LCF62E - Asia,Polyetheretherketone,PEEK,1.57,PEEK-(CF+GF)40,,,36500.0,391.0,41100.0,196.0,,0.7,7.843137254901961,,
LNP™ THERMOCOMP™ Compound,LCF62E - Europe,Polyetheretherketone,PEEK,1.57,PEEK-(CF+GF)40,,,36500.0,391.0,41100.0,196.0,,0.7,7.843137254901961,,
LNP™ THERMOCOMP™ Compound,LF002 - Europe,Polyetheretherketone,PEEK,1.37,PEEK-GF10,97.0,,4700.0,,5700.0,,3.4,,6.0,,
LNP™ THERMOCOMP™ Compound,LF002EXD-WT02005,Polyetheretherketone,PEEK,1.86,PEEK-GF10,,,7700.0,169.0,8700.0,97.0,,2.0,37.254901960784316,,
LNP™ THERMOCOMP™ Compound,LF006 - Asia,Polyetheretherketone,PEEK,1.54,PEEK-GF30,,,10800.0,263.0,13100.0,175.0,,1.9,11.764705882352942,,
LNP™ THERMOCOMP™ Compound,LF006E - Americas,Polyetheretherketone,PEEK,1.53,PEEK-GF30,,,11000.0,278.0,12900.0,187.0,,2.0,11.764705882352942,,
LNP™ LUBRICOMP™ Compound,LCL33 - Americas,Polyetheretherketone,PEEK,1.43,PEEK-CF30,,,13000.0,230.0,14500.0,187.0,,1.6,6.274509803921569,,
LNP™ LUBRICOMP™ Compound,LCL33E,Polyetheretherketone,PEEK,1.43,PEEK-CF30,,,13000.0,230.0,14700.0,187.0,,1.6,6.274509803921569,,
LNP™ LUBRICOMP™ Compound,LCL36,Polyetheretherketone,PEEK,1.47,PEEK-CF30-L,,,16300.0,,13500.0,201.0,,3.7,9.0,,
LNP™ LUBRICOMP™ Compound,LL003,Polyetheretherketone,PEEK,1.39,PEEK-L,62.0,,2750.0,92.0,3070.0,62.0,3.3,3.3,4.705882352941177,,
LNP™ LUBRICOMP™ Compound,LX19222,Polyetheretherketone,PEEK,1.44,PEEK-X-L,,,10500.0,215.0,12000.0,150.0,,2.5,5.392156862745098,,
Sciengy®,PEEK-SGC301ATF,Polyetheretherketone,PEEK,1.4,PEEK-CF30,,343.0,25500.0,380.0,30000.0,,,1.5,,,
Sciengy®,PEEK-SGRN10G,Polyetheretherketone,PEEK,1.3,PEEK,,343.0,3800.0,160.0,3700.0,,,30.0,,,
Zeniva®,ZA-500 L,Polyetheretherketone,PEEK,1.29,PEEK-L,95.0,,4000.0,,3600.0,,5.2,35.0,8.823529411764707,,
Zeniva®,ZA-550 L,Polyetheretherketone,PEEK,1.29,PEEK,96.0,,3700.0,,3800.0,,5.0,25.0,8.823529411764707,,
Zeniva®,ZA-600 BK,Polyetheretherketone,PEEK,1.3,PEEK,99.0,,4000.0,,3800.0,,,30.0,5.882352941176471,,
KetaSpire®,KT-820 NL,Polyetheretherketone,PEEK,1.3,PEEK,96.0,,3700.0,146.0,3500.0,,5.2,20.0,8.92156862745098,,88.0
KetaSpire®,KT-820SFP,Polyetheretherketone,PEEK,1.3,PEEK,,340.0,3860.0,152.0,3650.0,,5.2,20.0,6.764705882352942,,
KetaSpire®,KT-850P,Polyetheretherketone,PEEK,1.3,PEEK,,340.0,3860.0,152.0,3650.0,,5.2,20.0,6.764705882352942,,
KetaSpire®,KT-880 ACF30,Polyetheretherketone,PEEK,1.41,PEEK-CF30,,,24900.0,374.0,27500.0,,,1.8,7.352941176470589,,
KetaSpire®,KT-880 FW31,Polyetheretherketone,PEEK,1.44,PEEK-X30,,,14500.0,250.0,18200.0,,,2.1,4.6078431372549025,,
KetaSpire®,KT-880 GF15,Polyetheretherketone,PEEK,1.41,PEEK-GF15,,,,231.0,6700.0,138.0,,5.0,5.0,,
KetaSpire®,KT-880 NL,Polyetheretherketone,PEEK,1.3,PEEK,,,3800.0,153.0,3700.0,,5.2,10.0,5.196078431372549,,
KetaSpire®,KT-880FP,Polyetheretherketone,PEEK,1.3,PEEK,102.0,,3800.0,134.0,3700.0,,5.2,10.0,4.9,,
KetaSpire®,XT-920 GF30,Polyetheretherketone,PEEK,1.51,PEEK-GF30,,,9900.0,258.0,10700.0,156.0,,3.0,12.0,,87.0
EverGlide®,SG3204P,Polyetheretherketone,PEEK,1.41,PEEK-L,77.9,,2410.0,96.5,,65.5,9.0,30.0,18.627450980392158,,
EverGlide®,SG3208T,Polyetheretherketone,PEEK,1.45,PEEK-L,51.7,,2620.0,96.5,,37.9,9.0,75.0,6.274509803921569,,
EverGlide®,SG3264,Polyetheretherketone,PEEK,1.41,PEEK-L,77.9,,2410.0,96.5,,65.5,9.0,30.0,18.627450980392158,,
DynaMix™,3204-HF,Polyetheretherketone,PEEK,,PEEK,79.3,,3450.0,138.0,,80.0,5.0,20.0,8.92156862745098,,
DynaMix™,3216-HF,Polyetheretherketone,PEEK,1.31,PEEK,93.8,,3310.0,134.0,,95.8,6.0,35.0,8.333333333333334,,
Pyramid™,CC100,Polyetheretherketone,PEEK,1.5,PEEK-CF60,,340.0,34000.0,,36000.0,310.0,,1.0,10.784313725490197,,96.0
Pyramid™,KD2000 Compression Molded Shape,Polyetheretherketone,PEEK,1.3,PEEK,,340.0,3100.0,172.0,3100.0,,,10.0,,,
Pyramid™,KD2000-J01,Polyetheretherketone,PEEK,1.3,PEEK,,339.0,3500.0,,3500.0,97.0,,40.0,9.411764705882353,,88.0
Pyramid™,KD2000-R02,Polyetheretherketone,PEEK,1.3,PEEK,,340.0,4000.0,,3500.0,97.0,,40.0,8.03921568627451,,88.0
Pyramid™,KD2219,Polyetheretherketone,PEEK,1.45,PEEK-X30,,340.0,13000.0,,9000.0,160.0,,2.5,6.274509803921569,,
Pyramid™,KD2530-NT,Polyetheretherketone,PEEK,1.42,PEEK-PTFE Fiber20-L,,343.0,3450.0,,3170.0,79.3,,15.0,4.215686274509804,,84.0
AUROtec®,PEEK 90 black,Polyetheretherketone,PEEK,1.29,PEEK,100.0,343.0,,,4000.0,,20.0,,,,
LubriOne™,LB9800-8001 AR Black,Polyetheretherketone,PEEK,1.43,PEEK-(CF+CD)-L,,,9500.0,,12500.0,145.0,,3.0,,,
Edgetek™,PK-000/000 Natural,Polyetheretherketone,PEEK,1.3,PEEK,98.0,342.0,3350.0,,3700.0,,,20.0,5.882352941176471,,
AKROTEK®,PEEK GF 20 9 natural (7989),Polyetheretherketone,PEEK,1.43,PEEK-GF20,,342.0,,,8800.0,165.0,,2.6,,,
AKROTEK®,PEEK GF 30 natural (7938),Polyetheretherketone,PEEK,1.5,PEEK-GF30,,342.0,,,12000.0,180.0,,2.7,,,
AKROTEK®,PEEK GF 60 9 natural (5425),Polyetheretherketone,PEEK,1.85,PEEK-GF60,,342.0,,,23500.0,210.0,,1.4,,,
InStruc®,PEEKCF40HF,Polyetheretherketone,PEEK,1.45,PEEK-CF40,,,29000.0,,,,1.0,,9.411764705882353,,
InLube®,PEEKGF30TF15HFMD,Polyetheretherketone,PEEK,1.58,PEEK-GF30-L,,,6890.0,148.0,,,1.0,,8.333333333333334,124.0,
InElec®,PEEKCF10HF,Polyetheretherketone,PEEK,1.33,PEEK-CF10,,,9650.0,262.0,11000.0,,2.0,,5.784313725490197,,
ColorRx®,PEEK-3000RX,Polyetheretherketone,PEEK,1.3,PEEK,99.3,,3790.0,152.0,,,5.2,10.0,5.0,102.0,
ColorFast®,PEEK381G R3 Black,Polyetheretherketone,PEEK,1.3,PEEK,,,4000.0,165.0,4000.0,,10.0,,17.647058823529413,,
TECACOMP®,PEEK 150 TF20 natural 9576,Polyetheretherketone,PEEK,1.4,PEEK-PTFE Fiber20,,343.0,,,3000.0,,,5.0,,,
TECACOMP®,PEEK 450 CF30 black 3642,Polyetheretherketone,PEEK,1.4,PEEK-CF30,,343.0,,,22000.0,,,1.5,,,
TECACOMP®,PEEK 450 CF30 MP black 4225,Polyetheretherketone,PEEK,1.4,PEEK-CF30,,343.0,,,20400.0,,,2.5,,,
TECACOMP®,PEEK 450 CMF grey 3850,Polyetheretherketone,PEEK,1.62,PEEK-MD,,343.0,,,4800.0,,,10.0,,,
TECACOMP®,PEEK 450 CMF white 3809,Polyetheretherketone,PEEK,1.63,PEEK-MD,,343.0,,,5000.0,,,9.0,,,
TECACOMP®,PEEK 450 GF30 natural 1053920,Polyetheretherketone,PEEK,1.51,PEEK-GF30,,343.0,,,10500.0,,,3.0,,,
TECACOMP®,PEEK 450 ID blue 3865,Polyetheretherketone,PEEK,1.44,PEEK-X,96.0,343.0,,,4300.0,80.0,4.5,14.0,,,
TECACOMP®,PEEK 450 MED  black 3960,Polyetheretherketone,PEEK,1.3,PEEK,,343.0,,,3700.0,,,20.0,,,
TECACOMP®,PEEK 450 MED yellow 9600,Polyetheretherketone,PEEK,1.3,PEEK,,343.0,,,3800.0,,,20.0,,,
TECACOMP®,PEEK CF30 black 1056340,Polyetheretherketone,PEEK,1.41,PEEK-CF30,,343.0,,,19500.0,,,3.2,,,
TECACOMP®,PEEK HT black 3169,Polyetheretherketone,PEEK,1.36,PEEK,,344.0,,,3800.0,,,20.0,,,
TECACOMP®,PEEK PVX X10 3740,Polyetheretherketone,PEEK,1.61,PEEK-CF,,343.0,,,13500.0,,,2.0,,,
TECACOMP®,PEEK SD black 1046375,Polyetheretherketone,PEEK,1.71,PEEK,,343.0,,,9100.0,,,7.5,,,
TECACOMP®,PEEK TRM XS mod. black 1017677,Polyetheretherketone,PEEK,1.39,PEEK-CF-L,,343.0,,,16000.0,,,1.7,,,
DURAPEEK,1000CF30,Polyetheretherketone,PEEK,1.4,PEEK-CF30,,343.0,24000.0,380.0,28000.0,,,1.7,11.0,,88.0
DURAPEEK,1000SHF,Polyetheretherketone,PEEK,1.3,PEEK,,340.0,,,3800.0,,,10.0,,,
DURAPEEK,LS30GF2,Polyetheretherketone,PEEK,1.5,PEEK-GF30,,342.0,6850.0,162.0,,,,4.9,,,
Devlon,PEEK,Polyetheretherketone,PEEK,1.49,PEEK,,343.0,,170.0,3900.0,,,25.0,,,88.0
Stat-Tech™,ST9800-8015 CR ESD BK001,Polyetheretherketone,PEEK,1.31,PEEK,,,3600.0,150.0,,,,,5.882352941176471,,
Badatech HT®,PEEK,Polyetheretherketone,PEEK,1.3,PEEK,95.0,,,115.0,3800.0,,4.7,,7.5,,
Badatech HT®,PEEK CF10/GR10/TF10,Polyetheretherketone,PEEK,1.44,PEEK-(CF+MD)20-L,,,,,13000.0,155.0,,2.0,,,
Carbo-Rite™,A-1441,Polyetheretherketone,PEEK,1.35,PEEK-CF,,,18000.0,,,80.0,,2.9,,,
Ketron®,1000 PEEK SP,Polyetheretherketone,PEEK,1.31,PEEK,,340.0,,,4400.0,,4.0,10.0,,,
Ketron®,CM CA30 PEEK,Polyetheretherketone,PEEK,1.42,PEEK-CF30,,,6890.0,159.0,9650.0,,,3.0,7.352941176470589,125.0,
Ketron®,TF20 PEEK SP,Polyetheretherketone,PEEK,1.41,PEEK-L,,340.0,,,3400.0,,,5.0,,,
Ketron®,TX PEEK FG,Polyetheretherketone,PEEK,1.39,PEEK-L,,340.0,,,3750.0,,5.0,6.0,,,
Witcom PEEK,6C/3L1-EM,Polyetheretherketone,PEEK,1.49,PEEK-CF30-L,175.0,,18500.0,255.0,,,,1.0,8.0,,
PFLUON®,8900G,Polyetheretherketone,PEEK,1.3,PEEK,,343.0,4300.0,180.0,3700.0,,,15.0,5.0,,
WDF® PEEK,K900GF20-MV,Polyetheretherketone,PEEK,1.43,PEEK-GF20,,343.0,8800.0,245.0,,,,3.3,7.352941176470589,100.0,
WDF® PEEK,K900GF30-LV,Polyetheretherketone,PEEK,1.52,PEEK-GF30,,343.0,11500.0,275.0,,,,2.5,8.823529411764707,100.0,
VAMPEEK,A 5010,Polyetheretherketone,PEEK,1.67,PEEK-GF50,,,,,17000.0,175.0,,1.6,6.5,,
VICTREX™ PEEK POLYMER,150FC30,Polyetheretherketone,PEEK,1.45,PEEK-CF30,,343.0,12000.0,230.0,13500.0,160.0,,2.0,5.5,,83.0
VICTREX™ PEEK POLYMER,450CA30,Polyetheretherketone,PEEK,1.4,PEEK-CF30,,343.0,24000.0,380.0,28000.0,265.0,,1.7,11.0,,88.0
VICTREX™ PEEK POLYMER,450GL15,Polyetheretherketone,PEEK,1.38,PEEK-GF15,,343.0,7200.0,240.0,7500.0,145.0,,4.0,7.0,,86.0
VICTREX™ PEEK POLYMER,450P,Polyetheretherketone,PEEK,1.3,PEEK,98.0,343.0,3800.0,160.0,4000.0,,,30.0,7.0,,
VICTREX™ PEEK POLYMER,90GL30,Polyetheretherketone,PEEK,1.52,PEEK-GF30,,343.0,11500.0,290.0,12000.0,195.0,,2.4,10.0,,87.0
VICTREX FG™ POLYMER,200/201,Polyetheretherketone,PEEK,1.3,PEEK,95.0,343.0,3600.0,155.0,,,,60.0,9.5,,84.0
VICTREX FG™ POLYMER,340,Polyetheretherketone,PEEK,1.44,PEEK-X,,343.0,17000.0,290.0,,195.0,,1.8,6.0,,85.0
VICTREX FG™ POLYMER,700 FPD,Polyetheretherketone,PEEK,1.3,PEEK,,343.0,3900.0,170.0,4100.0,100.0,,15.0,4.5,,
Latilub,88/50-20GRT K/10,Polyetheretherketone,PEEK,1.45,PEEK-CF10-L,,,,,12500.0,145.0,,2.3,,,
Larpeek,10 GCE/600,Polyetheretherketone,PEEK,1.93,PEEK-(GF+MD)60,,,,,17600.0,160.0,,1.3,,,
LUVOCOM®,1105/GF/20/EM NC,Polyetheretherketone,PEEK,1.44,PEEK-GF20,,,7000.0,190.0,8000.0,,3.5,,,,
LUVOCOM®,1105/TF/20/NAT,Polyetheretherketone,PEEK,1.4,PEEK-L,,,3000.0,115.0,3500.0,,7.0,,,,
LUVOCOM®,1105/XCF/30,Polyetheretherketone,PEEK,1.41,PEEK-CF30,,,28000.0,445.0,33000.0,,1.6,,,,
LUVOCOM®,1105-0904/GN2,Polyetheretherketone,PEEK,1.56,PEEK-GF,,,10000.0,212.0,12000.0,,2.0,,,,
LUVOCOM®,1105-7678,Polyetheretherketone,PEEK,1.56,PEEK-CF-L,,,11000.0,215.0,14000.0,,1.5,,,,
LUVOCOM®,1105-8000,Polyetheretherketone,PEEK,1.56,PEEK-CF-L,,,14000.0,235.0,16000.0,,1.6,,,,
LUVOCOM®,1105-8709/GY,Polyetheretherketone,PEEK,1.35,PEEK,,,3300.0,150.0,4400.0,,4.5,,,,
LUVOCOM®,3F PEEK CF 9676 BK,Polyetheretherketone,PEEK,1.36,PEEK-CF,,,,,7800.0,,3.9,,,,
TRIBOFORCE®,PEEK C2300,Polyetheretherketone,PEEK,1.59,PEEK-CF-L,,340.0,,,13000.0,,,2.2,,,
SUSTAPEEK,FG natural,Polyetheretherketone,PEEK,1.31,PEEK,110.0,343.0,,,4000.0,,,20.0,,,88.0
SUSTAPEEK,MG natural,Polyetheretherketone,PEEK,1.31,PEEK,110.0,343.0,,,4000.0,,,20.0,,,88.0
SUSTAPEEK,MOD black,Polyetheretherketone,PEEK,1.46,PEEK,75.0,343.0,,,4900.0,,,4.0,,,85.0
RTP,2200 HF TFE 20,Polyetheretherketone,PEEK,1.4,PEEK-L,,,3450.0,121.0,3100.0,,5.0,,6.764705882352942,,
RTP,2200 LF,Polyetheretherketone,PEEK,1.3,PEEK,,,3790.0,145.0,3790.0,,10.0,,5.196078431372549,,
RTP,2202 HF Z,Polyetheretherketone,PEEK,1.4,PEEK-GF15,,,6210.0,207.0,6890.0,,2.6,,5.784313725490197,,
RTP,2205 HF TFE 15,Polyetheretherketone,PEEK,1.63,PEEK-GF30-L,,,11400.0,241.0,12800.0,,1.5,,10.784313725490197,,
RTP,2205 HF Z,Polyetheretherketone,PEEK,1.53,PEEK-GF30,,,11000.0,248.0,11700.0,,2.0,,7.352941176470589,,
RTP,2205 LF TFE 15,Polyetheretherketone,PEEK,1.64,PEEK-GF30-L,,,11000.0,234.0,12800.0,,2.5,,12.745098039215687,,
RTP,2207 HF,Polyetheretherketone,PEEK,1.61,PEEK-GF40,,,14500.0,314.0,15200.0,,2.5,,12.745098039215687,,
