Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
HiFill®,PEI GF20,Polyether Imide,PEI,1.41,PEI-GF20,,,6550.0,217.0,,148.0,,,7.843137254901961,,
AuroraGuard™,ENV17-NC020,Polyether Imide,PEI,1.27,PEI,109.0,,3520.0,163.0,,,,55.0,4.215686274509804,,
AuroraGuard™,ENV17-NC040,Polyether Imide,PEI,1.34,PEI-GF10,,,5100.0,193.0,,110.0,,6.0,5.196078431372549,,
ULTEM™ Resin,1000F,Polyether Imide,PEI,1.27,PEI,110.0,,3300.0,,3200.0,,6.0,50.0,5.196078431372549,,
ULTEM™ Resin,1000P200,Polyether Imide,PEI,1.27,PEI,110.0,,3300.0,,3200.0,,6.0,50.0,5.196078431372549,,
ULTEM™ Resin,1010TC,Polyether Imide,PEI,1.27,PEI,110.0,,3300.0,,3200.0,,6.0,50.0,3.1372549019607847,,
ULTEM™ Resin,2100F - Asia,Polyether Imide,PEI,1.34,PEI-GF10,114.0,,5170.0,,4680.0,115.0,,6.0,5.196078431372549,,
ULTEM™ Resin,2100F - Europe,Polyether Imide,PEI,1.34,PEI-GF10,,,4500.0,,4500.0,115.0,,4.0,,,
ULTEM™ Resin,2100R - Asia,Polyether Imide,PEI,1.34,PEI-GF10,114.0,,5170.0,,4680.0,115.0,,6.0,8.333333333333334,,
ULTEM™ Resin,2110R - Americas,Polyether Imide,PEI,1.34,PEI-GF10,114.0,,5240.0,,4610.0,115.0,,6.0,5.196078431372549,,
ULTEM™ Resin,2200 - Americas,Polyether Imide,PEI,1.42,PEI-GF20,118.27544721258528,,6890.0,,6890.0,131.0,2.306000000000008,4.0,6.274509803921569,,
ULTEM™ Resin,2410 - Americas,Polyether Imide,PEI,1.61,PEI-GF40,186.0,,11700.0,,11700.0,179.0,,2.5,10.784313725490197,,
ULTEM™ Resin,3452 - Europe,Polyether Imide,PEI,1.66,PEI-(GF+MD)45,,,12000.0,,12500.0,100.0,,1.5,5.0,,
ULTEM™ Resin,4000 - Americas,Polyether Imide,PEI,1.67,PEI-(CF+CD)-L,,,8820.0,,7958.994596,82.0,,1.2,6.274509803921569,,
ULTEM™ Resin,4000 - Europe,Polyether Imide,PEI,1.68,PEI-(CF+CD)-L,,,7000.0,,9900.0,90.0,,1.0,,,
ULTEM™ Resin,4001 - Europe,Polyether Imide,PEI,1.33,PEI-L,95.0,,3000.0,,3000.0,75.0,6.0,30.0,10.0,,
