Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Preformance® PET,ES11,Polyethylene Terephthalate,PET,,PET,,,,,,,
HiFill®,PET GF/M40 BK,Polyethylene Terephthalate,PET,1.63,PET-(GF+MD)40,,254.0,11700.0,200.0,,,
HiFill®,PET GF30,Polyethylene Terephthalate,PET,1.56,PET-GF,,244.0,8960.0,234.0,,,
TAROLOX,111 G5 Y0,Polyethylene Terephthalate,PET,1.55,PET-GF25-FR,,256.0,9400.0,140.0,10200.0,,
TAROLOX,111 G6 Y0,Polyethylene Terephthalate,PET,1.59,PET-GF30-FR,,256.0,11000.0,150.0,12300.0,,
TAROLOX,111 G7,Polyethylene Terephthalate,PET,1.62,PET-GF35,,256.0,10500.0,245.0,13000.0,,
TAROLOX,111 G7 DX02,Polyethylene Terephthalate,PET,1.72,PET-GF35,,256.0,12000.0,190.0,13000.0,,
I. Stern,IS-7985,Polyethylene Terephthalate,PET,,PET,,,,,,,
Cazeden,A PET,Polyethylene Terephthalate,PET,1.4,PET,,,2400.0,,,74.0,
STAR,PET IV.80,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Sunny®,PET EN230,Polyethylene Terephthalate,PET,1.65,PET-GF30-FR,,,5820.0,150.0,,,
Lighter™,C93,Polyethylene Terephthalate,PET,,PET,55.0,,2100.0,,2300.0,78.0,
HYPET,PET76CLR,Polyethylene Terephthalate,PET,,PET,,243.0,,,,,
HYPET,PET80,Polyethylene Terephthalate,PET,1.38,PET,,244.0,,,,,
SureSpec,PET-80,Polyethylene Terephthalate,PET,,PET,,119.0,,,,,
SureSpec,PET-84,Polyethylene Terephthalate,PET,,PET,,119.0,,,,,
Tecopet®,PT70 GR15 NL100 MB,Polyethylene Terephthalate,PET,1.4,PET-I-GF15,,255.0,,,5000.0,,
Tecopet®,PT70 GR30 NL100 MB,Polyethylene Terephthalate,PET,1.5,PET-I-GF30,,255.0,,,8000.0,,
Tecopet®,PT70 GR30 NL100 XD70,Polyethylene Terephthalate,PET,1.7,PET-GF30-FR,,255.0,,,12000.0,,
Tecopet®,PT74 GR45 BK002 PR,Polyethylene Terephthalate,PET,1.69,PET-GF45,,250.0,,,16000.0,,
TRIPET®,2500G45,Polyethylene Terephthalate,PET,1.7,PET,147.0,,9810.0,,,,28.0
TRIPET®,2550GN45,Polyethylene Terephthalate,PET,1.83,PET,147.0,,12700.0,,,,50.0
SABIC® PET,BC211,Polyethylene Terephthalate,PET,,PET,,,,,,,
SABIC® PET,BC212,Polyethylene Terephthalate,PET,,PET,,,,,,,
SABIC® PET,PCG60,Polyethylene Terephthalate,PET,,PET,,,,,,,
LNP™ COLORCOMP™ Compound,WQ117945,Polyethylene Terephthalate,PET,1.06,PET,,250.0,,,,79.0,
STRAPIO™,ST 800,Polyethylene Terephthalate,PET,,PET,,,,,,,
BONDZ™,BU 098,Polyethylene Terephthalate,PET,1.27,PET,,,,,,55.0,
Shinite®,T102G30BK TH3013,Polyethylene Terephthalate,PET,1.69,PET-GF30-FR,,253.0,9900.0,196.0,,,23.0
Skyrol®,SH38,Polyethylene Terephthalate,PET,,PET,,,,,,,
Skyrol®,SH52,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SH76,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SH94,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SL10S,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SL30U,Polyethylene Terephthalate,PET,,PET,,,,,,,
Skyrol®,SM30,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
Skyrol®,SP29H,Polyethylene Terephthalate,PET,1.32,PET,,,,,,,
Skyrol®,SP91,Polyethylene Terephthalate,PET,1.4,PET,,,,,,,
PRIMALENE,WPP02PET,Polyethylene Terephthalate,PET,,PET,,,,,,,
RENATUS®,C3030FA,Polyethylene Terephthalate,PET,1.6,PET-GF30,,,10400.0,241.0,,,
SLOVASTER®,E GF 30,Polyethylene Terephthalate,PET,1.58,PET-GF30,170.0,,11000.0,270.0,11000.0,,10.0
PEXTIN™,PET545-BK,Polyethylene Terephthalate,PET,1.7,PET-GF45-L,,,14500.0,276.0,,,
Polygrade®,B3 G45 NTLA010 PG306,Polyethylene Terephthalate,PET,1.69,PET,,240.0,9000.0,210.0,4200.0,,
neopet,82,Polyethylene Terephthalate,PET,,PET,,244.0,,,,,
NEXT REGRIND,PET 545-300RG,Polyethylene Terephthalate,PET,1.7,PET-GF45,,,13800.0,,,,
NOVAPET SPRIT,H11,Polyethylene Terephthalate,PET,1.39,PET,60.0,,2510.0,,2600.0,,36.0
PoliPIR™,PETGF-3300,Polyethylene Terephthalate,PET,1.55,PET-GF30,,,6210.0,193.0,7590.0,,
OCTAL PET,GP 02,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
OCTAL PET,WG 02,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
CERTENE™,PET 8080HC,Polyethylene Terephthalate,PET,,PET,,119.0,,,,,
Nan Ya PET,4410G6,Polyethylene Terephthalate,PET,1.58,PET-GF30-FR,137.0,250.0,9410.0,216.0,,,15.0
Nan Ya PET,4410G9,Polyethylene Terephthalate,PET,1.85,PET-GF45-FR,127.0,250.0,10300.0,157.0,,,8.0
Polyclear®,Preserve PET 2201,Polyethylene Terephthalate,PET,1.39,PET,,252.0,,,,,
PRECITE®,E GF 20 black (7360),Polyethylene Terephthalate,PET,1.47,PET-GF20,,260.0,7700.0,210.0,7800.0,,
PRECITE®,E GF 45 ECO black (8284),Polyethylene Terephthalate,PET,1.72,PET-GF45,,250.0,,,16100.0,,
InElec®,PCT7011AS10,Polyethylene Terephthalate,PET,1.15,PET,,,1240.0,,1380.0,,30.0
Preformance® PET,1708HS(A),Polyethylene Terephthalate,PET,,PET,,,,,,,
Adell PET,WR-37,Polyethylene Terephthalate,PET,1.58,PET-GF35,,232.0,9170.0,240.0,,,
AuroraGuard™,245GF,Polyethylene Terephthalate,PET,1.7,PET-GF45,175.0,,14000.0,,15500.0,,
AuroraGuard™,F0PET30GF,Polyethylene Terephthalate,PET,1.68,PET-GF30-FR,128.0,,10300.0,197.0,6.2,,
DSR,TL-103,Polyethylene Terephthalate,PET,,PET,,250.0,,,,,
DSR,TLE-102,Polyethylene Terephthalate,PET,,PET,,245.0,,,,,
Laser+®,(B90A),Polyethylene Terephthalate,PET,,PET,,241.0,,,,,
Laser+®,(B90B),Polyethylene Terephthalate,PET,,PET,,241.0,,,,,
