Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
Double Elephant,SX-304,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.19,PMMA,,,,,,,,6.0,,,
SUPREME™,SP 6718,"Acrylic, Styrene Methyl Methacrylate Copolymer",Acrylic (SMMA),1.12,SMMA,67.2,,2450.0,,,,,,,,
HiFill®,ASA 814 GY,Acrylonitrile Styrene Acrylate,ASA,1.05,ASA,42.1,,1860.0,54.5,,,3.0,,34.31372549019608,108.0,
SUMIPEX®,EX,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.19,PMMA,,,3200.0,120.0,,,,14.0,,,
SUMIPEX®,HT01X,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.15,PMMA,,,1800.0,64.0,,,,90.0,,,
SUMIPEX®,HT03Y,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.15,PMMA,,,1700.0,61.0,,,,90.0,,,
SUMIPEX®,HT25X,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.18,PMMA,,,2800.0,107.0,,,,27.0,,,
SUMIPEX®,LG35,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.19,PMMA,,,2900.0,103.0,,,,6.0,,,
SUMIPEX®,MGSS,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.19,PMMA,,,3200.0,94.0,,,,5.0,,,
SUMIPEX®,MM,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.19,PMMA,,,3200.0,120.0,,,,18.0,,,
ISOPAK®,583,Acrylonitrile Styrene Acrylate,ASA,1.08,ASA,53.9,,2160.0,68.6,,,,,10.784313725490197,110.0,
Perfactory®,LS600,"Acrylic, Unspecified","Acrylic, Unspecified",1.1,PMMA,,,,,1800.0,60.0,,4.4,,,85.0
Perfactory®,Press-E-Cast,"Acrylic, Unspecified","Acrylic, Unspecified",,PMMA,,,3350.0,115.0,,,,3.5,,,
Perfactory®,WIC100G,"Acrylic, Unspecified","Acrylic, Unspecified",1.32,PMMA,,,,,,,,6.3,,,80.0
EnvisionTEC,D3 White M,"Acrylic, Unspecified","Acrylic, Unspecified",,PMMA,,,1870.0,56.8,2590.0,28.2,,1.3,,,88.0
AuroraShield™,ENV32-NC090,Polycarbonate + ASA,PC+ASA,1.15,(ASA+PC),60.0,,2390.0,82.7,,,,25.0,28.43137254901961,,
Deco-Coat™,60-7180,"Acrylic, Unspecified","Acrylic, Unspecified",,PMMA,,,,,,,,,,,
Evermore PUR,UAP-9060,"Acrylic, Unspecified","Acrylic, Unspecified",,PMMA,,,,,,,,,,,
TRIMMA®,FM6300,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.11,PMMA,53.0,,1860.0,,,,,,12.745098039215687,,
TRIMMA®,FT6120,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.18,PMMA,73.5,,2400.0,,,,,20.0,2.3529411764705883,120.0,
TRIMMA®,SD6380H,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.14,PMMA,70.6,,2700.0,,,,,10.0,1.4705882352941178,123.0,
TRIMMA®,SD6390H,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.11,PMMA,51.0,,2060.0,,,,,20.0,8.627450980392158,,
SABIC® PMMA,20HR,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.19,PMMA,,,3300.0,140.0,3300.0,,,6.0,,,
SABIC® PMMA,P15OE,"Acrylic, Polymethyl Methacrylate",Acrylic (PMMA),1.19,PMMA,,,3100.0,120.0,,,,5.0,,,
KYDEX®,100,Polyvinyl Chloride + Acrylic (PMMA),PVC+PMMA,1.35,(PVC+PMMA),,,2310.0,63.0,2400.0,,,160.0,94.11764705882354,94.0,
KYDEX®,4545,Polyvinyl Chloride + Acrylic (PMMA),PVC+PMMA,1.49,(PVC+PMMA),,,3610.0,87.6,3690.0,,,,,113.0,
