Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
ARBOFILL®,ARBOFILL,Cellulose Acetate,CA,,CA,27.9,,,,2740.0,26.7,3.6,4.5,,,
Tekuform,C9,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.41,POM(co),,165.0,,,,,,,0.7647058823529412,,
Telcar®,90-E607D-88NT,Ethylene Vinyl Acetate Copolymer,EVA,0.918,EVA,,,,,,7.58,,470.0,,,
Plaslube®,AC-80/TF/10,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.46,POM(co)-L,,,2280.0,69.6,,,,,5.196078431372549,,
Plaslube®,POM CO CF10 TL10 BK,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.48,POM(co)-CF10-L,,,6890.0,110.0,,75.8,,2.0,4.705882352941177,82.0,
Plaslube®,POM CO GF10 TX15 BK,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.56,POM(co)-GF10-L,,,4830.0,110.0,,79.3,,3.0,4.215686274509804,110.0,
Plaslube®,POM CO GF5 TL5,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.46,POM(co)-GF5-L,,162.0,2930.0,91.7,,63.4,,12.0,5.784313725490197,,
Plaslube®,POM CO TL2 MB,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.41,POM(co)-L,,,2900.0,89.6,,60.0,,33.0,5.196078431372549,,
Plaslube®,POM CO TS20,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.5,POM(co)-L,,,2070.0,67.6,,41.4,12.0,,5.196078431372549,79.0,
Plaslube®,POM CO X MB,Acetal (POM) Copolymer,Acetal (POM) Copolymer,1.39,POM(co)-L,58.6,,276.0,81.4,,,30.0,,5.784313725490197,100.0,
Plaslube®,POM HO CF20 TL15,Acetal (POM) Homopolymer,Acetal (POM) Homopolymer,1.55,POM-CF-L,,178.0,12400.0,110.0,,87.6,,3.0,5.196078431372549,84.0,
Plaslube®,POM HO E TL20,Acetal (POM) Homopolymer,Acetal (POM) Homopolymer,1.52,POM-L,,162.0,2830.0,75.8,,55.2,,5.0,6.764705882352942,79.0,
Plaslube®,POM HO GF10 TL20,Acetal (POM) Homopolymer,Acetal (POM) Homopolymer,1.6,POM-GF-L,,177.0,3480.0,69.6,,54.5,,10.0,5.196078431372549,82.0,
Plaslube®,POM HO TL1,Acetal (POM) Homopolymer,Acetal (POM) Homopolymer,1.4,POM-L,,,2960.0,89.6,,64.4,18.0,,5.490196078431373,,
Plaslube®,POM HO TL2,Acetal (POM) Homopolymer,Acetal (POM) Homopolymer,1.42,POM-L,,,2960.0,89.6,,60.7,22.0,,5.196078431372549,,
Plaslube®,POM HO TL20 BK,Acetal (POM) Homopolymer,Acetal (POM) Homopolymer,1.52,POM-L,,162.0,2760.0,75.8,,48.3,,5.0,4.215686274509804,79.0,
Plaslube®,POM HO TL20 BN042,Acetal (POM) Homopolymer,Acetal (POM) Homopolymer,1.52,POM-L,,162.0,2760.0,75.8,,48.3,,5.0,4.215686274509804,79.0,
