Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
TechnoGreen,PP LGF 30-10-04 N H (83835),"Polypropylene, Unspecified","PP, Unspecified",1.12,85.0,6800.0,115.0,6300.0,,
TechnoGreen,PP LGF 50-10-04 M (84155),"Polypropylene, Unspecified","PP, Unspecified",1.33,115.0,10900.0,128.0,10300.0,,
TechnoFin,PP 1 G 9 grau (53602),"Polypropylene, Unspecified","PP, Unspecified",0.9,30.0,,,1500.0,,
TechnoFin,PP EPDM M 3 E 35 (51414),Polypropylene + EPDM Rubber,PP+EPDM,0.96,22.0,,,1200.0,,
TechnoFin,PP EPDM T 10 2 UV HI K 10 (66737),Polypropylene + EPDM Rubber,PP+EPDM,0.96,14.0,,,1050.0,,
TechnoFin,PP EPDM T 20 2 G 15 (55165),Polypropylene + EPDM Rubber,PP+EPDM,1.05,17.0,,,1600.0,,
TechnoFin,PP EPDM T 20 2 G 7 (51428),Polypropylene + EPDM Rubber,PP+EPDM,1.05,19.0,,,1900.0,,
TechnoFin,PP GF 20 1 E L 25 schwarz (81251),"Polypropylene, Unspecified","PP, Unspecified",1.04,78.0,,,4500.0,,
TechnoFin,PP GF 20 2 G 14 (50794),"Polypropylene, Unspecified","PP, Unspecified",1.05,50.0,,,3500.0,,
TechnoFin,PP GF 30 2 N 18 (85743),"Polypropylene, Unspecified","PP, Unspecified",1.12,58.0,,,5100.0,,
TechnoFin,PP GF 40 1 E L 10 (73071),"Polypropylene, Unspecified","PP, Unspecified",1.24,85.0,,,8400.0,,
TechnoFin,PP GF 40 2 G 4 (50935),"Polypropylene, Unspecified","PP, Unspecified",1.23,70.0,,,7000.0,,
TechnoFin,PP LR03 2 D 10 (59799),"Polypropylene, Unspecified","PP, Unspecified",1.03,21.0,,,1250.0,,
TechnoFin,PP LR05 2 D 10 (87252),"Polypropylene, Unspecified","PP, Unspecified",1.0,25.0,,,1150.0,,
TechnoFin,PP LR05 2 D 10 (87253),"Polypropylene, Unspecified","PP, Unspecified",1.02,25.0,,,1250.0,,
TechnoFin,PP T 20 2 UV M 15 (58236),"Polypropylene, Unspecified","PP, Unspecified",1.05,30.0,,,2100.0,,
TechnoFin,PP T 22 2 K 8 (50950),"Polypropylene, Unspecified","PP, Unspecified",1.05,26.0,,,2100.0,,
TechnoFin,PP T 22 2 UV K 16 (50951),"Polypropylene, Unspecified","PP, Unspecified",1.05,26.0,,,2100.0,,
TechnoFin,PP T 22 2 UV M 25 (87233),"Polypropylene, Unspecified","PP, Unspecified",1.05,32.0,,,2300.0,,
TechnoFin,PPC T 20 2 G 8 (50917),Polypropylene Copolymer,PP Copolymer,1.05,26.0,,,2100.0,,
TechnoFiber,PP LGF 20-10-01 L H E natur (56591),"Polypropylene, Unspecified","PP, Unspecified",1.03,98.0,5050.0,135.0,4850.0,,
TechnoFiber,PP LGF 20-10-01 L HI E (60748),"Polypropylene, Unspecified","PP, Unspecified",1.03,85.0,4900.0,125.0,4700.0,,
TechnoFiber,PP LGF 30-10-01 L H E (49829),"Polypropylene, Unspecified","PP, Unspecified",1.12,108.0,7400.0,150.0,7100.0,,
TechnoFiber,PP LGF 30-10-01 L H E (52332),"Polypropylene, Unspecified","PP, Unspecified",1.12,108.0,7400.0,150.0,7100.0,,
TechnoFiber,PP LGF 30-10-01 L H E UV (84361),"Polypropylene, Unspecified","PP, Unspecified",1.12,115.0,7400.0,150.0,7100.0,,
TechnoFiber,PP LGF 30-10-01 L HI (24569),"Polypropylene, Unspecified","PP, Unspecified",1.12,98.0,7200.0,140.0,7000.0,,
TechnoFiber,PP LGF 30-10-01 N HI (50995),"Polypropylene, Unspecified","PP, Unspecified",1.12,98.0,7200.0,140.0,7000.0,,
TechnoFiber,PP LGF 30-10-02 L HI (25984),"Polypropylene, Unspecified","PP, Unspecified",1.12,92.0,7050.0,118.0,6600.0,,
