Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
TechnoGreen,PP LGF 30-10-04 N H (83835),"Polypropylene, Unspecified","PP, Unspecified",1.12,PP-LGF30,85.0,,6800.0,115.0,6300.0,,2.3,,,,
TechnoGreen,PP LGF 50-10-04 M (84155),"Polypropylene, Unspecified","PP, Unspecified",1.33,PP-LGF50,115.0,,10900.0,128.0,10300.0,,2.0,,,,
TechnoFin,PP 1 G 9 grau (53602),"Polypropylene, Unspecified","PP, Unspecified",0.9,PP,30.0,,,,1500.0,,7.5,,,,
TechnoFin,PP EPDM M 3 E 35 (51414),Polypropylene + EPDM Rubber,PP+EPDM,0.96,TPO,22.0,,,,1200.0,,6.0,,,,
TechnoFin,PP EPDM T 10 2 UV HI K 10 (66737),Polypropylene + EPDM Rubber,PP+EPDM,0.96,TPO,14.0,,,,1050.0,,10.0,,,,
TechnoFin,PP EPDM T 20 2 G 15 (55165),Polypropylene + EPDM Rubber,PP+EPDM,1.05,TPO,17.0,,,,1600.0,,5.0,,,,
TechnoFin,PP EPDM T 20 2 G 7 (51428),Polypropylene + EPDM Rubber,PP+EPDM,1.05,TPO,19.0,,,,1900.0,,5.0,,,,
TechnoFin,PP GF 20 1 E L 25 schwarz (81251),"Polypropylene, Unspecified","PP, Unspecified",1.04,PP-GF20,78.0,,,,4500.0,,3.0,,,,
TechnoFin,PP GF 20 2 G 14 (50794),"Polypropylene, Unspecified","PP, Unspecified",1.05,PP-GF20,50.0,,,,3500.0,,3.0,,,,
TechnoFin,PP GF 30 2 N 18 (85743),"Polypropylene, Unspecified","PP, Unspecified",1.12,PP-GF30,58.0,,,,5100.0,,2.6,,,,
TechnoFin,PP GF 40 1 E L 10 (73071),"Polypropylene, Unspecified","PP, Unspecified",1.24,PP-GF40,85.0,,,,8400.0,,2.4,,,,
TechnoFin,PP GF 40 2 G 4 (50935),"Polypropylene, Unspecified","PP, Unspecified",1.23,PP-GF40,70.0,,,,7000.0,,2.8,,,,
TechnoFin,PP LR03 2 D 10 (59799),"Polypropylene, Unspecified","PP, Unspecified",1.03,PP,21.0,,,,1250.0,,6.0,,,,
