Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Density,Tensile Strength at Yield,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Sinelec,CCB2765/G,"Polystyrene, Specialty",PS (Specialty),1.1,15.0,1200.0,,,,2.5
Sinelec,CCB6905,"Polystyrene, Specialty",PS (Specialty),,33.0,1740.0,45.0,,,3.0
Styropek®,BFL 295,"Polystyrene, Expanded",PS (EPS),,,,,,,
Styropek®,BFL 397S,"Polystyrene, Expanded",PS (EPS),,,,,,,
Styropek®,BFL 495,"Polystyrene, Expanded",PS (EPS),,,,,,,
Styropek®,P 440MH,"Polystyrene, Expanded",PS (EPS),,,,,,,
SUPREME™,SE 120 BL,"Polystyrene, Expanded",PS (EPS),0.008,,,,,,
SUPREME™,SE 271 TM,"Polystyrene, Expanded",PS (EPS),0.04,,,,,,
SUPREME HIPS,SH 03,"Polystyrene, High Impact",PS (HIPS),1.03,,2200.0,35.8,,,8.5
SUPREME HIPS,SH 2157,"Polystyrene, High Impact",PS (HIPS),1.03,,1800.0,33.8,,,4.0
SUPREME HIPS,SH 2157E,"Polystyrene, High Impact",PS (HIPS),1.03,,1800.0,33.8,,,4.0
SUPREME GPPS,SC 201 LV,"Polystyrene, General Purpose",PS (GPPS),1.04,,3200.0,79.9,,,4.0
Plaslube®,HIPS TL10 BK,"Polystyrene, High Impact",PS (HIPS),1.11,,1590.0,35.9,,,8.0
HiFill®,HIPS TM10 WT155,"Polystyrene, High Impact",PS (HIPS),1.06,,2000.0,35.9,,,6.0
HiFill®,PS GF20,"Polystyrene, General Purpose",PS (GPPS),1.22,,6210.0,103.0,,,
Taitarex®,616,"Polystyrene, High Impact",PS (HIPS),1.04,2.35,,,,,2.5
Taitarex®,818K,"Polystyrene, General Purpose",PS (GPPS),1.04,5.3,,,,,2.3
Taitarex®,861N / B / W,"Polystyrene, General Purpose",PS (GPPS),1.04,4.31,,,,,7.0
Taitacell,EPS 301MM,"Polystyrene, Expanded",PS (EPS),0.012,,,0.196,,,
Taitacell,EPS 321F,"Polystyrene, Expanded",PS (EPS),0.017,,,0.294,,,
Taitacell,EPS 321NF,"Polystyrene, Expanded",PS (EPS),0.017,,,0.294,,,
Taitacell,EPS 321S,"Polystyrene, Expanded",PS (EPS),0.015,,,0.245,,,
Taitacell,EPS 351SAA,"Polystyrene, Expanded",PS (EPS),0.015,,,0.245,,,
Synthos PS,170M,"Polystyrene, General Purpose",PS (GPPS),1.04,,,36.0,3300.0,,
Synthos PS,GP 585X,"Polystyrene, General Purpose",PS (GPPS),,,,,,,7.5
InSphere®,1000F/CZ,"Polystyrene, Expanded",PS (EPS),,,,,,,
InSphere®,300F/NL,"Polystyrene, Expanded",PS (EPS),,,,,,,
InSphere®,800F/CZ,"Polystyrene, Expanded",PS (EPS),,,,,,,
InSphere®,800FR/NL,"Polystyrene, Expanded",PS (EPS),,,,,,,
InSphere®,800S/NL,"Polystyrene, Expanded",PS (EPS),,,,,,,
InPacto®,100D/NL,"Polystyrene, Expanded",PS (EPS),,,,,,,
InPacto®,300D/NL,"Polystyrene, Expanded",PS (EPS),,,,,,,
InPacto®,500SR/F1,"Polystyrene, Expanded",PS (EPS),,,,,,,
StyroTalc™,51,"Polystyrene, General Purpose",PS (GPPS),1.5,,,,,,3.5
StyroCal™,HP,"Polystyrene, High Impact",PS (HIPS),1.87,,,,,,1.0
Solarene®,G-144,"Polystyrene, General Purpose",PS (GPPS),1.04,51.0,3720.0,92.2,,,7.5
Solarene®,H-663,"Polystyrene, High Impact",PS (HIPS),1.04,24.0,2170.0,37.0,,,16.0
HK HIPS,PDR751,"Polystyrene, High Impact",PS (HIPS),1.04,24.0,2100.0,43.0,2300.0,,3.5
HUAYI HIPS,PT-100,"Polystyrene, High Impact",PS (HIPS),1.04,,1770.0,39.2,,,7.0
I. Stern,870E,"Polystyrene, High Impact",PS (HIPS),,21.0,1750.0,,,,4.0
I. Stern,BLK100,"Polystyrene, High Impact",PS (HIPS),,21.0,1750.0,,,,3.0
I. Stern,SH03,"Polystyrene, High Impact",PS (HIPS),,21.6,1770.0,,,,10.0
I. Stern,WC-103,"Polystyrene, General Purpose",PS (GPPS),,52.4,23.8,,,,1.6
Iupiace™,GH20,Polyphenylene Ether + PS,PPE+PS,1.22,,6400.0,154.0,6600.0,,
Iupiace™,GV20,Polyphenylene Ether + PS,PPE+PS,1.22,,6300.0,161.0,6500.0,,
Iupiace™,LMX420N,Polyphenylene Ether + PS,PPE+PS,1.34,,6000.0,105.0,6000.0,,
Iupiace™,LN80,Polyphenylene Ether + PS,PPE+PS,1.11,79.0,2400.0,115.0,2400.0,,
Iupiace™,LV60,Polyphenylene Ether + PS,PPE+PS,1.09,60.0,2650.0,100.0,,,
Iupiace™,TX403,Polyphenylene Ether + PS,PPE+PS,1.09,51.0,2500.0,80.0,2600.0,,
Iupiace™,VSG635V 9001P,Polyphenylene Ether + PS,PPE+PS,1.44,,8500.0,140.0,8600.0,,
Grupo IDESA GPPS,K-4-L-01,"Polystyrene, General Purpose",PS (GPPS),,,,,3920.0,,9.8
Grupo IDESA GPPS,K-8-AL-01,"Polystyrene, General Purpose",PS (GPPS),,,,,,,3.2
HYRENE®,PSCRY 8,"Polystyrene, General Purpose",PS (GPPS),1.04,,3390.0,78.6,,,7.0
HYRENE®,PS-CRY3,"Polystyrene, General Purpose",PS (GPPS),1.04,,3300.0,91.4,,,3.0
HYRENE®,PS-HI 13/2,"Polystyrene, High Impact",PS (HIPS),1.04,20.0,1770.0,31.0,,,13.0
HYRENE®,PS-HI 8/2,"Polystyrene, High Impact",PS (HIPS),1.04,26.0,1990.0,39.3,,,7.0
Eporex®,550,"Polystyrene, General Purpose",PS (GPPS),1.05,0.0538,3100.0,,,,4.0
TAIRIREX®,GP525N,"Polystyrene, General Purpose",PS (GPPS),1.04,,3140.0,86.0,3040.0,,6.6
TAIRIREX®,GP5350,"Polystyrene, General Purpose",PS (GPPS),1.04,,3140.0,87.0,3140.0,,4.5
TAIRIREX®,GP535A,"Polystyrene, General Purpose",PS (GPPS),1.04,,3140.0,92.0,3430.0,,4.3
TAIRIREX®,HP825S,"Polystyrene, High Impact",PS (HIPS),1.04,,1650.0,36.0,1600.0,,2.7
TAIRIREX®,HP825T,"Polystyrene, General Purpose",PS (GPPS),1.04,,2250.0,43.0,2150.0,,11.0
SureSpec,GS-025,"Polystyrene, General Purpose",PS (GPPS),1.05,53.8,3600.0,179.0,3310.0,,2.5
SureSpec,GS-080,"Polystyrene, General Purpose",PS (GPPS),1.04,44.8,3030.0,,2960.0,,8.0
SureSpec,GS-100,"Polystyrene, General Purpose",PS (GPPS),1.05,47.6,3500.0,,3130.0,,10.0
SureSpec,GS-140,"Polystyrene, General Purpose",PS (GPPS),1.05,42.1,3030.0,,2900.0,,14.0
SureSpec,HS-120,"Polystyrene, High Impact",PS (HIPS),1.05,15.9,2050.0,,2000.0,,12.0
Galloo,GP-rPS65B,"Polystyrene, General Purpose",PS (GPPS),1.05,,1750.0,,,,7.0
Galloo,GP-rPS65W,"Polystyrene, General Purpose",PS (GPPS),1.05,,1700.0,,,,7.0
SABIC® PS,330,"Polystyrene, High Impact",PS (HIPS),1.04,,2650.0,44.0,2350.0,,4.0
NORYL™ Resin,115EM4A,Polyphenylene Ether + PS,PPE+PS,1.16,69.0,3340.0,108.0,,,
NORYL™ Resin,EN185 - Americas,Polyphenylene Ether + PS,PPE+PS,1.08,42.0,2270.0,,,,
NORYL™ Resin,FE1740PW - Asia,Polyphenylene Ether + PS,PPE+PS,1.4,,9500.0,,11300.0,,10.0
