Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
Fluoraz,799,Polytetrafluoroethylene,PTFE,1.65,PTFE,,,,,,,,,,,
Chemraz,510,Polytetrafluoroethylene,PTFE,1.92,PTFE,,,,,,,,,,,
Flontech®,FLON-5110,Polytetrafluoroethylene,PTFE,2.09,PTFE,,,,,,,,280.0,,,62.0
Flontech®,FT-1-10,Polytetrafluoroethylene,PTFE,2.17,PTFE,,,,,,,,350.0,,,54.0
Flontech®,FT-1-1O,Polytetrafluoroethylene,PTFE,2.17,PTFE,,,,,,,,340.0,,,55.0
Flontech®,FT-1-FM-3,Polytetrafluoroethylene,PTFE,2.18,PTFE,,,,,,,,460.0,,,54.0
Flontech®,FT-1-GRN,Polytetrafluoroethylene,PTFE,2.18,PTFE,,,,,,,,350.0,,,55.0
Flontech®,FT-905-DL,Polytetrafluoroethylene,PTFE,,PTFE,,335.0,,,,,,,,,
Flontech®,FT-905-RSC,Polytetrafluoroethylene,PTFE,,PTFE,,323.0,,,,,,,,,
Flontech®,FT-905-RSH,Polytetrafluoroethylene,PTFE,,PTFE,,323.0,,,,,,,,,
Flontech®,FT-915-RSL,Polytetrafluoroethylene,PTFE,,PTFE,,334.0,,,,,,,,,
Flontech®,FT-BRR40-2,Polytetrafluoroethylene,PTFE,3.08,PTFE-Me40,,,,,,,,240.0,,,62.0
Flontech®,FT-BRR40-GRN-1,Polytetrafluoroethylene,PTFE,3.15,PTFE-(Me+MD)40,,,,,,,,280.0,,,62.0
Flontech®,FT-BRR60-1,Polytetrafluoroethylene,PTFE,3.95,PTFE-Me60,,,,,,,,220.0,,,66.0
Flontech®,FT-CAR23-GR2-3,Polytetrafluoroethylene,PTFE,2.06,PTFE-CF25,,,,,,,,70.0,,,61.0
Flontech®,FT-CAR9-GR1-1,Polytetrafluoroethylene,PTFE,2.14,PTFE-CF10,,,,,,,,260.0,,,60.0
Flontech®,FT-COND2-1,Polytetrafluoroethylene,PTFE,2.15,PTFE-CF5,,,,,,,,290.0,,,55.0
Flontech®,FT-COND-3,Polytetrafluoroethylene,PTFE,2.14,PTFE-CF5,,,,,,,,270.0,,,55.0
