Product Name,Grade,Generic Polymer Type,Generic Polymer Symbol,Polymer Code,Tensile Strength at Yield,Melting Temperature,Flexural Modulus,Flexural Strength,Tensile Modulus,Glass Transition Temperature,Melt Mass-Flow Rate (MFR)
Sylvin,5189-60D Natural,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,177.0,,,,,
Sylvin,83055-58D Black,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8321-60D Natural,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8329-65D Natural,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8392-60D Natural,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8393-93C Natural,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,177.0,,,18.3,,
Sylvin,8773-60D Brown 7354,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8773-60D Brown 7362,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8773-60D Brown 7363,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8773-60D Green 3149,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8773-60D Grey 9536,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8773-60D Yellow 4188,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8839-60D Grey 9506,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,8864-70D Brown 7398,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,9764-60D Natural,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Sylvin,9775-70D Black,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,177.0,,,,,
Vital-Line,SMM3711,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Sinvicomp,DBS3503,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,39.2,,,,,,
Sinvicomp,DBS3604,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,49.0,,,,,,
Sinvicomp,DBS3607,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,49.0,,,,,,
Sinvicomp,DBS3703,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,49.0,,,,,,
Sinvicomp,DFR5806,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,220.0,,,,
Sinvicomp,SBB3700,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.5,,,,,,
Sinvicomp,SBB3704,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,47.1,,,,,,
Sinvicomp,SBB4707,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.1,,,,,,
Sinvicomp,SBC3710,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,47.1,,,,,,
Sinvicomp,SBF3778,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,41.2,,,,,,
Sinvicomp,SIC3703G,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,54.0,,,,,,5.0
Sinvicomp,SIC3704BUV,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,35.0,,,,,,
Sinvicomp,SIC3704M,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,34.0,,,,,,
Sinvicomp,SIZ4505H,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Sinvicomp,SRF2705,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,44.1,,,,,,
Sinvicomp,SRF3700,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,53.9,,,,,,
Sinvicomp,SRF3704,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,46.1,,,,,,5.5
Sinvicomp,SRF3707,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,45.1,,,,,,
Sinvicomp,SRF3730,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,53.0,,,,,,
Sinvicomp,SRF3735,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.0,,,,,,
Sinvicomp,SRF3793,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.0,,2700.0,73.0,,,
Sinvicomp,SRF3872,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.0,,2700.0,73.0,,,
Sinvicomp,SRF9703,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.0,,,,,,
Sinvicomp,SRF9703AP,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.0,,,,,,
Sinvicomp,SRF9704,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.0,,,,,,
Sinvicomp,SRF9711,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.0,,,,,,
Sinvicomp,SRP2009M,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,47.0,,,,,,
Sinvicomp,SRP3004,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,39.0,,,,,,
Sinvicomp,SRT5713,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,46.0,,,,,,
APEX®,S3600-85NT,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
APEX®,11-A1261H-89,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
APEX®,1523-90-N-00,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,25.0
APEX®,1545-75,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
APEX®,1545-85 LG2,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
APEX®,1545-95 LSG,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
APEX®,1545-D40 ST,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
APEX®,5500-90T HF,"Polyvinyl Chloride, Semi-Rigid","PVC, Semi-Rigid",PVC,,,,,,,
APEX®,RE 8003B NT,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2720.0,,2590.0,,
APEX®,RE 8205,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2940.0,,3070.0,,
APEX®,RE 8220,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,3000.0,,2990.0,,
APEX®,RE 9003UV,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2590.0,,,,
APEX®,RE 9005 UV,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
APEX®,RE 9203,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2690.0,,2650.0,,
APEX®,RM 9214,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2550.0,,2480.0,,
APEX®,RM 9215,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2620.0,,2550.0,,
APEX®,RM03SCR1-03NT1G,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
APEX®,RM03SCR2-01 NT1,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
Hoffman PVC,V7-28,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,2550.0,68.3,2540.0,,
GEON® Rigid,206,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,44.5,,2760.0,81.4,2620.0,,
GEON® Rigid,2188,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,41.4,,2630.0,78.4,2720.0,,
GEON® Rigid,85857,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,42.7,,2830.0,77.9,2450.0,,
GEON® Rigid,85880,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,41.9,,2500.0,70.4,2620.0,,
GEON® Rigid,8700A,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,42.7,,2620.0,75.8,2690.0,,
GEON® Rigid,8700X,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,42.1,,2480.0,75.8,2480.0,,
GEON® Rigid,87322,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,45.5,,2900.0,82.7,2760.0,,
GEON® Rigid,87548 AS,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,53.4,,2840.0,88.5,2790.0,,
GEON® Rigid,87554,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,53.4,,2840.0,88.5,2790.0,,
GEON® Rigid,87555HS,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,53.4,,2840.0,88.5,2790.0,,
GEON® Rigid,87624,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.3,,3450.0,89.6,2760.0,,
GEON® Rigid,87768,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,56.1,,3330.0,99.9,2650.0,,
GEON® Rigid,87771,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,46.0,,2740.0,80.6,2720.0,,
GEON® Rigid,E0101,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,,,,,,,
GEON® Rigid,E1354,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,48.6,,3230.0,95.1,2820.0,,
GEON® Rigid,E1357,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,50.2,,2960.0,93.8,2960.0,,
GEON® Rigid,E1501,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,41.6,,2900.0,79.3,2950.0,,
GEON® Rigid,E6950,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,46.9,,3100.0,95.1,2760.0,,
GEON® Rigid,E7370,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,44.8,,2760.0,83.4,3090.0,,
GEON® Rigid,E7853,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,45.9,,3080.0,82.3,3860.0,,
GEON® Rigid,E7857,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,42.7,,2830.0,77.9,2450.0,,
GEON® Rigid,HC 8220,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,48.3,,2760.0,75.8,2690.0,,
GEON® Rigid,HC 8230,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,45.5,,2710.0,71.7,2590.0,,
GEON® Rigid,L0148,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.1,,2800.0,78.0,2840.0,,
GEON® Rigid,L0248 Opaque,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,45.5,,2700.0,78.9,2580.0,,
GEON® Rigid,L0659,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,42.3,,3210.0,80.6,3270.0,,
GEON® Rigid,L0676,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,37.6,,2190.0,64.6,2150.0,,
GEON® Rigid,L4794,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC,43.9,,2490.0,76.6,2260.0,,
GEON® Rigid,L4857,"Polyvinyl Chloride, Rigid","PVC, Rigid",PVC-I,42.7,,2830.0,77.9,2450.0,,
