Product_Name,Grade,Generic_Polymer_Type,Generic_Polymer_Symbol,Density_g/cm^3,Polymer_Code,Tensile_Strength_at_Yield_MPa,Melting_Temperature_°C,Flexural_Modulus_MPa,Flexural_Strength_MPa,Tensile_Modulus_MPa,Tensile_Strength_at_Break_MPa,Tensile_Elongation_at_Yield_%_strain,Tensile_Elongation_at_Break_%_strain,Izod_Notched_Impact_23°C_kJ/m^2,Hardness_Rockwell_R,Hardness_Shore_D
Sylvin,2818-80 Blue 8397,"Polyvinyl Chloride, Flexible","PVC, Flexible",1.36,PVC-P,,166.0,,,,17.2,,350.0,,,
Sylvin,2819-80 Natural,"Polyvinyl Chloride, Flexible","PVC, Flexible",1.37,PVC-P,,171.0,,,,16.5,,380.0,,,
Sylvin,29000-60 Clear Blue 8482,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.16,PVC-P,,154.0,,,4.14,11.7,,480.0,,,
Sylvin,29000-60 Clear Yellow 4218,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.16,PVC-P,,154.0,,,4.14,11.7,,480.0,,,
Sylvin,2900-45 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.13,PVC-P,,154.0,,,,6.55,,400.0,,,
Sylvin,2900-60 Clear Pink 6308,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.17,PVC-P,,154.0,,,,10.7,,460.0,,,
Sylvin,2900-60 White 1517,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.19,PVC-P,,154.0,,,,10.0,,430.0,,,
Sylvin,2900-75 Brown 7407,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,163.0,,,,15.2,,430.0,,,
Sylvin,2900-75 Clear 876,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.2,PVC-P,,163.0,,,,15.2,,430.0,,,
Sylvin,2900-75 White 1482,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.23,PVC-P,,163.0,,,,15.2,,430.0,,,
Sylvin,2900-80 Clear Red 6284,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.23,PVC-P,,166.0,,,,16.5,,400.0,,,
Sylvin,2900-80 Clear Red 6286,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,166.0,,,,16.5,,400.0,,,
Sylvin,2900-85 Clear 8382,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.24,PVC-P,,168.0,,,,17.9,,380.0,,,
Sylvin,2900-93 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.26,PVC-P,,174.0,,,,19.3,,330.0,,,
Sylvin,2900-95 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.27,PVC-P,,174.0,,,,20.0,,330.0,,,
Sylvin,2902-80 Clear 8346,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,166.0,,,,15.2,,350.0,,,
Sylvin,2903-60 White 148,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.31,PVC-P,,154.0,,,,10.3,,550.0,,,
Sylvin,2905-85 Grey 9559,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.29,PVC-P,,168.0,,,,17.9,,330.0,,,
Sylvin,2905-85 White 1494,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.31,PVC-P,,168.0,,,,17.9,,330.0,,,
Sylvin,2910-45 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.18,PVC-P,,149.0,,,,7.58,,450.0,,,
Sylvin,2910-50 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.19,PVC-P,,154.0,,,,8.96,,500.0,,,
Sylvin,2910-60 Blue 8389,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.23,PVC-P,,154.0,,,,10.7,,460.0,,,
Sylvin,2910-85 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.26,PVC-P,,168.0,,,,17.9,,380.0,,,
Sylvin,2910-90 White 1568,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.29,PVC-P,,171.0,,,,21.4,,380.0,,,
Sylvin,2910-95 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.29,PVC-P,,174.0,,,,20.0,,330.0,,,
Sylvin,2910-95 Clear 8435,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.29,PVC-P,,174.0,,,,20.0,,330.0,,,
Sylvin,2912-57 Natural,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.26,PVC-P,,154.0,,,,10.3,,450.0,,,
Sylvin,2913-70 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.19,PVC-P,,160.0,,,,13.8,,430.0,,,
Sylvin,2915-85 Natural,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.42,PVC-P,,168.0,,,,13.8,,350.0,,,
Sylvin,29168-85 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.23,PVC-P,,168.0,,,,16.9,,350.0,,,
Sylvin,29168-95 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.27,PVC-P,,174.0,,,,19.7,,330.0,,,
Sylvin,2918-80 Black,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.37,PVC-P,,166.0,,,,12.8,,350.0,,,
Sylvin,2920-65 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.16,PVC-P,,157.0,,,,11.0,,430.0,,,
Sylvin,2920-75 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.19,PVC-P,,163.0,,,,13.8,,400.0,,,
Sylvin,2920-80 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,166.0,,,,15.5,,360.0,,,
Sylvin,2920-93 Green 3170,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.27,PVC-P,,171.0,,,,19.3,,340.0,,,
Sylvin,2920-95 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.26,PVC-P,,174.0,,,,19.7,,330.0,,,
Sylvin,2923-67LG Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.18,PVC-P,,157.0,,,,13.1,,400.0,,,
Sylvin,2924-65 White 1500,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.26,PVC-P,,163.0,,,,13.4,,450.0,,,
Sylvin,2926-67LG Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.17,PVC-P,,157.0,,,,11.7,,400.0,,,
Sylvin,2929-67LG Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,157.0,,,,12.4,,370.0,,,
Sylvin,2939-75 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.2,PVC-P,,163.0,,,,15.2,,380.0,,,
Sylvin,2941-75 Clear 8392,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.21,PVC-P,,163.0,,,,15.2,,430.0,,,
Sylvin,2944-91 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.25,PVC-P,,171.0,,,,19.3,,330.0,,,
Sylvin,2946-75 White 1547,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,163.0,,,,15.2,,430.0,,,
Sylvin,2962-67LG Clear 8429,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.17,PVC-P,,160.0,,,,13.8,,380.0,,,
Sylvin,2965-70 Black,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.35,PVC-P,,160.0,,,,11.7,,350.0,,,
Sylvin,2966-70 Natural,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.42,PVC-P,,160.0,,,,11.0,,350.0,,,
Sylvin,2973-80 White 1560,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.38,PVC-P,,171.0,,,,17.9,,380.0,,,
Sylvin,2976-80 Brown 7464,"Polyvinyl Chloride, Flexible","PVC, Flexible",1.33,PVC-P,,166.0,,,,16.5,,300.0,,,
Sylvin,2979-65 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.18,PVC-P,,157.0,,,,10.7,,410.0,,,
Sylvin,2982-82 Clear 8463,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,166.0,,,,15.5,,350.0,,,
Sylvin,2984-85 Natural,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.31,PVC-P,,168.0,,,,17.9,,380.0,,,
Sylvin,2986-60 White 1577,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.16,PVC-P,,171.0,,,,11.4,,380.0,,,
Sylvin,2988-80 White 1500,"Polyvinyl Chloride, Flexible","PVC, Flexible",1.35,PVC-P,,166.0,,,,16.2,,380.0,,,
Sylvin,2990-55 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.15,PVC-P,,154.0,,,,8.96,,430.0,,,
Sylvin,2990-60D Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.28,PVC-P,,177.0,,,,27.6,,250.0,,,60.0
Sylvin,2990-70 Clear 8382,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.19,PVC-P,,160.0,,,,13.1,,400.0,,,
Sylvin,2990-75 Clear,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.2,PVC-P,,163.0,,,,14.5,,380.0,,,
Sylvin,2990-76 Blue 8474,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.22,PVC-P,,163.0,,,,14.5,,380.0,,,
Sylvin,2990-85 Grey 9616,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.24,PVC-P,,168.0,,,,16.9,,350.0,,,
Sylvin,2992-75 White 1582,"Polyvinyl Chloride, Unspecified","PVC, Unspecified",1.35,PVC-P,,163.0,,,,13.8,,350.0,,,
